date_county,Daily Max 8-hour CO Concentration,DAILY_AQI_VALUE
"01/01/2017, Cuyahoga",0.6,7
"01/02/2017, Cuyahoga",0.8,9
"01/03/2017, Cuyahoga",0.9,10
"01/04/2017, Cuyahoga",0.7,8
"01/05/2017, Cuyahoga",0.6,7
"01/06/2017, Cuyahoga",0.6,7
"01/07/2017, Cuyahoga",0.5,6
"01/08/2017, Cuyahoga",0.4,5
"01/09/2017, Cuyahoga",0.7,8
"01/10/2017, Cuyahoga",0.8,9
"01/11/2017, Cuyahoga",0.7,8
"01/12/2017, Cuyahoga",0.5,6
"01/13/2017, Cuyahoga",0.0,0
"01/14/2017, Cuyahoga",0.0,0
"01/15/2017, Cuyahoga",0.1,1
"01/16/2017, Cuyahoga",0.3,3
"01/17/2017, Cuyahoga",0.0,0
"01/18/2017, Cuyahoga",0.4,5
"01/19/2017, Cuyahoga",0.5,6
"01/20/2017, Cuyahoga",0.5,6
"01/21/2017, Cuyahoga",0.5,6
"01/22/2017, Cuyahoga",0.4,5
"01/23/2017, Cuyahoga",0.4,5
"01/24/2017, Cuyahoga",0.4,5
"01/25/2017, Cuyahoga",0.5,6
"01/26/2017, Cuyahoga",0.4,5
"01/27/2017, Cuyahoga",0.3,3
"01/28/2017, Cuyahoga",0.2,2
"01/29/2017, Cuyahoga",0.2,2
"01/30/2017, Cuyahoga",0.2,2
"01/31/2017, Cuyahoga",0.2,2
"02/01/2017, Cuyahoga",0.3,3
"02/02/2017, Cuyahoga",0.3,3
"02/03/2017, Cuyahoga",0.3,3
"02/04/2017, Cuyahoga",0.6,7
"02/05/2017, Cuyahoga",0.6,7
"02/06/2017, Cuyahoga",0.7,8
"02/07/2017, Cuyahoga",0.6,7
"02/08/2017, Cuyahoga",0.4,5
"02/09/2017, Cuyahoga",0.2,2
"02/10/2017, Cuyahoga",0.5,6
"02/11/2017, Cuyahoga",0.6,7
"02/12/2017, Cuyahoga",0.6,7
"02/13/2017, Cuyahoga",0.4,5
"02/14/2017, Cuyahoga",0.4,5
"02/15/2017, Cuyahoga",0.4,5
"02/16/2017, Cuyahoga",0.5,6
"02/17/2017, Cuyahoga",0.9,10
"02/18/2017, Cuyahoga",0.8,9
"02/19/2017, Cuyahoga",0.4,5
"02/20/2017, Cuyahoga",0.9,10
"02/21/2017, Cuyahoga",1.1,13
"02/22/2017, Cuyahoga",0.8,9
"02/23/2017, Cuyahoga",0.4,5
"02/24/2017, Cuyahoga",0.9,10
"02/25/2017, Cuyahoga",0.9,10
"02/26/2017, Cuyahoga",0.0,0
"02/27/2017, Cuyahoga",1.5,17
"02/28/2017, Cuyahoga",1.5,17
"03/01/2017, Cuyahoga",1.2,14
"03/02/2017, Cuyahoga",0.3,3
"03/03/2017, Cuyahoga",0.2,2
"03/04/2017, Cuyahoga",0.2,2
"03/05/2017, Cuyahoga",0.4,5
"03/06/2017, Cuyahoga",0.8,9
"03/07/2017, Cuyahoga",0.7,8
"03/08/2017, Cuyahoga",0.2,2
"03/09/2017, Cuyahoga",0.3,3
"03/10/2017, Cuyahoga",0.4,5
"03/11/2017, Cuyahoga",0.5,6
"03/12/2017, Cuyahoga",0.5,6
"03/13/2017, Cuyahoga",0.4,5
"03/14/2017, Cuyahoga",0.3,3
"03/15/2017, Cuyahoga",0.3,3
"03/16/2017, Cuyahoga",0.4,5
"03/17/2017, Cuyahoga",0.8,9
"03/18/2017, Cuyahoga",0.5,6
"03/19/2017, Cuyahoga",0.5,6
"03/20/2017, Cuyahoga",0.6,7
"03/21/2017, Cuyahoga",0.6,7
"03/22/2017, Cuyahoga",0.3,3
"03/23/2017, Cuyahoga",0.5,6
"03/24/2017, Cuyahoga",0.4,5
"03/25/2017, Cuyahoga",0.3,3
"03/26/2017, Cuyahoga",0.5,6
"03/27/2017, Cuyahoga",0.5,6
"03/28/2017, Cuyahoga",0.3,3
"03/29/2017, Cuyahoga",0.2,2
"03/30/2017, Cuyahoga",0.1,1
"03/31/2017, Cuyahoga",0.3,3
"04/01/2017, Cuyahoga",0.4,5
"04/02/2017, Cuyahoga",0.5,6
"04/03/2017, Cuyahoga",0.9,10
"04/04/2017, Cuyahoga",1.0,11
"04/05/2017, Cuyahoga",0.4,5
"04/06/2017, Cuyahoga",0.4,5
"04/07/2017, Cuyahoga",0.3,3
"04/08/2017, Cuyahoga",0.6,7
"04/09/2017, Cuyahoga",1.0,11
"04/10/2017, Cuyahoga",0.5,6
"04/11/2017, Cuyahoga",0.5,6
"04/12/2017, Cuyahoga",0.3,3
"04/13/2017, Cuyahoga",0.3,3
"04/14/2017, Cuyahoga",0.2,2
"04/15/2017, Cuyahoga",0.4,5
"04/16/2017, Cuyahoga",0.3,3
"04/17/2017, Cuyahoga",0.3,3
"04/18/2017, Cuyahoga",0.3,3
"04/19/2017, Cuyahoga",0.4,5
"04/20/2017, Cuyahoga",0.3,3
"04/21/2017, Cuyahoga",0.2,2
"04/22/2017, Cuyahoga",-0.2,0
"04/23/2017, Cuyahoga",-0.1,0
"04/24/2017, Cuyahoga",0.3,3
"04/25/2017, Cuyahoga",0.6,7
"04/26/2017, Cuyahoga",0.6,7
"04/27/2017, Cuyahoga",0.5,6
"04/28/2017, Cuyahoga",0.5,6
"04/29/2017, Cuyahoga",0.5,6
"04/30/2017, Cuyahoga",0.1,1
"05/01/2017, Cuyahoga",0.8,9
"05/02/2017, Cuyahoga",0.8,9
"05/03/2017, Cuyahoga",0.3,3
"05/04/2017, Cuyahoga",0.4,5
"05/05/2017, Cuyahoga",0.4,5
"05/06/2017, Cuyahoga",0.3,3
"05/07/2017, Cuyahoga",0.3,3
"05/08/2017, Cuyahoga",0.5,6
"05/09/2017, Cuyahoga",0.7,8
"05/10/2017, Cuyahoga",0.3,3
"05/11/2017, Cuyahoga",0.3,3
"05/12/2017, Cuyahoga",0.4,5
"05/13/2017, Cuyahoga",0.4,5
"05/14/2017, Cuyahoga",0.4,5
"05/15/2017, Cuyahoga",0.4,5
"05/16/2017, Cuyahoga",0.5,6
"05/17/2017, Cuyahoga",0.7,8
"05/18/2017, Cuyahoga",0.3,3
"05/19/2017, Cuyahoga",0.2,2
"05/20/2017, Cuyahoga",0.4,5
"05/21/2017, Cuyahoga",0.4,5
"05/22/2017, Cuyahoga",0.3,3
"05/23/2017, Cuyahoga",0.7,8
"05/24/2017, Cuyahoga",0.5,6
"05/25/2017, Cuyahoga",0.6,7
"05/26/2017, Cuyahoga",0.3,3
"05/27/2017, Cuyahoga",0.5,6
"05/28/2017, Cuyahoga",0.4,5
"05/29/2017, Cuyahoga",0.3,3
"05/30/2017, Cuyahoga",0.2,2
"05/31/2017, Cuyahoga",0.3,3
"06/01/2017, Cuyahoga",0.4,5
"06/02/2017, Cuyahoga",0.4,5
"06/03/2017, Cuyahoga",0.4,5
"06/04/2017, Cuyahoga",0.6,7
"06/05/2017, Cuyahoga",0.6,7
"06/06/2017, Cuyahoga",0.3,3
"06/07/2017, Cuyahoga",0.4,5
"06/08/2017, Cuyahoga",0.5,6
"06/09/2017, Cuyahoga",0.7,8
"06/10/2017, Cuyahoga",0.6,7
"06/11/2017, Cuyahoga",0.4,5
"06/12/2017, Cuyahoga",0.4,5
"06/13/2017, Cuyahoga",0.6,7
"06/14/2017, Cuyahoga",0.4,5
"06/15/2017, Cuyahoga",0.5,6
"06/16/2017, Cuyahoga",0.5,6
"06/17/2017, Cuyahoga",0.7,8
"06/18/2017, Cuyahoga",0.3,3
"06/19/2017, Cuyahoga",0.3,3
"06/20/2017, Cuyahoga",0.0,0
"06/21/2017, Cuyahoga",0.2,2
"06/22/2017, Cuyahoga",0.4,5
"06/23/2017, Cuyahoga",0.7,8
"06/24/2017, Cuyahoga",0.7,8
"06/25/2017, Cuyahoga",0.5,6
"06/26/2017, Cuyahoga",0.5,6
"06/27/2017, Cuyahoga",0.2,2
"06/28/2017, Cuyahoga",0.3,3
"06/29/2017, Cuyahoga",0.4,5
"06/30/2017, Cuyahoga",0.5,6
"07/01/2017, Cuyahoga",0.1,1
"07/02/2017, Cuyahoga",0.0,0
"07/03/2017, Cuyahoga",0.3,3
"07/04/2017, Cuyahoga",0.3,3
"07/05/2017, Cuyahoga",0.4,5
"07/06/2017, Cuyahoga",0.5,6
"07/07/2017, Cuyahoga",0.4,5
"07/08/2017, Cuyahoga",0.3,3
"07/09/2017, Cuyahoga",0.2,2
"07/10/2017, Cuyahoga",0.5,6
"07/11/2017, Cuyahoga",0.5,6
"07/12/2017, Cuyahoga",0.4,5
"07/13/2017, Cuyahoga",0.2,2
"07/14/2017, Cuyahoga",0.4,5
"07/15/2017, Cuyahoga",0.3,3
"07/16/2017, Cuyahoga",0.5,6
"07/17/2017, Cuyahoga",0.2,2
"07/18/2017, Cuyahoga",0.4,5
"07/19/2017, Cuyahoga",0.5,6
"07/20/2017, Cuyahoga",0.3,3
"07/21/2017, Cuyahoga",0.4,5
"07/22/2017, Cuyahoga",0.5,6
"07/23/2017, Cuyahoga",0.3,3
"07/24/2017, Cuyahoga",0.3,3
"07/25/2017, Cuyahoga",0.2,2
"07/26/2017, Cuyahoga",0.5,6
"07/27/2017, Cuyahoga",0.9,10
"07/28/2017, Cuyahoga",0.5,6
"07/29/2017, Cuyahoga",0.5,6
"07/30/2017, Cuyahoga",0.6,7
"07/31/2017, Cuyahoga",0.7,8
"08/01/2017, Cuyahoga",0.7,8
"08/02/2017, Cuyahoga",0.9,10
"08/03/2017, Cuyahoga",1.1,13
"08/04/2017, Cuyahoga",0.8,9
"08/05/2017, Cuyahoga",0.3,3
"08/06/2017, Cuyahoga",0.4,5
"08/07/2017, Cuyahoga",0.8,9
"08/08/2017, Cuyahoga",0.7,8
"08/09/2017, Cuyahoga",1.0,11
"08/10/2017, Cuyahoga",0.8,9
"08/11/2017, Cuyahoga",0.8,9
"08/12/2017, Cuyahoga",0.6,7
"08/13/2017, Cuyahoga",0.4,5
"08/14/2017, Cuyahoga",0.8,9
"08/15/2017, Cuyahoga",0.6,7
"08/16/2017, Cuyahoga",0.5,6
"08/17/2017, Cuyahoga",0.7,8
"08/18/2017, Cuyahoga",0.5,6
"08/19/2017, Cuyahoga",0.1,1
"08/20/2017, Cuyahoga",1.0,11
"08/21/2017, Cuyahoga",0.1,1
"08/22/2017, Cuyahoga",0.4,5
"08/23/2017, Cuyahoga",0.3,3
"08/24/2017, Cuyahoga",0.4,5
"08/25/2017, Cuyahoga",0.3,3
"08/26/2017, Cuyahoga",1.7,19
"08/27/2017, Cuyahoga",0.7,8
"08/28/2017, Cuyahoga",0.6,7
"08/29/2017, Cuyahoga",0.5,6
"08/30/2017, Cuyahoga",1.0,11
"08/31/2017, Cuyahoga",1.0,11
"09/01/2017, Cuyahoga",0.2,2
"09/02/2017, Cuyahoga",0.6,7
"09/03/2017, Cuyahoga",0.7,8
"09/04/2017, Cuyahoga",0.7,8
"09/05/2017, Cuyahoga",0.7,8
"09/06/2017, Cuyahoga",0.4,5
"09/07/2017, Cuyahoga",0.4,5
"09/08/2017, Cuyahoga",0.4,5
"09/09/2017, Cuyahoga",0.3,3
"09/10/2017, Cuyahoga",0.4,5
"09/11/2017, Cuyahoga",0.5,6
"09/12/2017, Cuyahoga",0.6,7
"09/13/2017, Cuyahoga",0.9,10
"09/14/2017, Cuyahoga",0.7,8
"09/15/2017, Cuyahoga",1.0,11
"09/16/2017, Cuyahoga",1.5,17
"09/17/2017, Cuyahoga",1.2,14
"09/18/2017, Cuyahoga",1.3,15
"09/19/2017, Cuyahoga",3.9,44
"09/20/2017, Cuyahoga",3.1,35
"09/21/2017, Cuyahoga",1.4,16
"09/22/2017, Cuyahoga",0.8,9
"09/23/2017, Cuyahoga",1.2,14
"09/24/2017, Cuyahoga",1.0,11
"09/25/2017, Cuyahoga",3.3,38
"09/26/2017, Cuyahoga",2.7,31
"09/27/2017, Cuyahoga",1.5,17
"09/28/2017, Cuyahoga",0.5,6
"09/29/2017, Cuyahoga",0.4,5
"09/30/2017, Cuyahoga",0.3,3
"10/01/2017, Cuyahoga",0.7,8
"10/02/2017, Cuyahoga",1.2,14
"10/03/2017, Cuyahoga",0.6,7
"10/04/2017, Cuyahoga",1.7,19
"10/05/2017, Cuyahoga",1.9,22
"10/06/2017, Cuyahoga",1.8,20
"10/07/2017, Cuyahoga",0.5,6
"10/08/2017, Cuyahoga",0.2,2
"10/09/2017, Cuyahoga",0.4,5
"10/10/2017, Cuyahoga",0.4,5
"10/11/2017, Cuyahoga",0.4,5
"10/12/2017, Cuyahoga",0.4,5
"10/13/2017, Cuyahoga",0.5,6
"10/14/2017, Cuyahoga",0.9,10
"10/15/2017, Cuyahoga",0.5,6
"10/16/2017, Cuyahoga",0.5,6
"10/17/2017, Cuyahoga",1.1,13
"10/18/2017, Cuyahoga",0.5,6
"10/19/2017, Cuyahoga",0.5,6
"10/20/2017, Cuyahoga",0.7,8
"10/21/2017, Cuyahoga",0.9,10
"10/22/2017, Cuyahoga",0.9,10
"10/23/2017, Cuyahoga",0.6,7
"10/24/2017, Cuyahoga",0.5,6
"10/25/2017, Cuyahoga",0.5,6
"10/26/2017, Cuyahoga",0.5,6
"10/27/2017, Cuyahoga",0.5,6
"10/28/2017, Cuyahoga",0.4,5
"10/29/2017, Cuyahoga",0.4,5
"10/30/2017, Cuyahoga",0.4,5
"10/31/2017, Cuyahoga",0.3,3
"11/01/2017, Cuyahoga",0.5,6
"11/02/2017, Cuyahoga",0.5,6
"11/03/2017, Cuyahoga",0.3,3
"11/04/2017, Cuyahoga",0.4,5
"11/05/2017, Cuyahoga",0.6,7
"11/06/2017, Cuyahoga",0.3,3
"11/07/2017, Cuyahoga",0.2,2
"11/08/2017, Cuyahoga",0.4,5
"11/09/2017, Cuyahoga",1.6,18
"11/10/2017, Cuyahoga",0.2,2
"11/11/2017, Cuyahoga",0.5,6
"11/12/2017, Cuyahoga",0.8,9
"11/13/2017, Cuyahoga",0.6,7
"11/14/2017, Cuyahoga",0.5,6
"11/15/2017, Cuyahoga",0.5,6
"11/16/2017, Cuyahoga",0.3,3
"11/17/2017, Cuyahoga",0.2,2
"11/18/2017, Cuyahoga",0.5,6
"11/19/2017, Cuyahoga",0.2,2
"11/20/2017, Cuyahoga",0.3,3
"11/21/2017, Cuyahoga",0.3,3
"11/22/2017, Cuyahoga",0.4,5
"11/23/2017, Cuyahoga",0.4,5
"11/24/2017, Cuyahoga",0.7,8
"11/25/2017, Cuyahoga",0.2,2
"11/26/2017, Cuyahoga",0.2,2
"11/27/2017, Cuyahoga",0.6,7
"11/28/2017, Cuyahoga",0.6,7
"11/29/2017, Cuyahoga",0.3,3
"11/30/2017, Cuyahoga",0.5,6
"12/01/2017, Cuyahoga",0.5,6
"12/02/2017, Cuyahoga",0.7,8
"12/03/2017, Cuyahoga",0.5,6
"12/04/2017, Cuyahoga",0.6,7
"12/05/2017, Cuyahoga",0.3,3
"12/06/2017, Cuyahoga",0.2,2
"12/07/2017, Cuyahoga",0.4,5
"12/08/2017, Cuyahoga",0.4,5
"12/09/2017, Cuyahoga",0.5,6
"12/10/2017, Cuyahoga",0.6,7
"12/11/2017, Cuyahoga",0.8,9
"12/12/2017, Cuyahoga",0.8,9
"12/13/2017, Cuyahoga",0.5,6
"12/14/2017, Cuyahoga",0.4,5
"12/15/2017, Cuyahoga",0.6,7
"12/16/2017, Cuyahoga",0.4,5
"12/17/2017, Cuyahoga",0.6,7
"12/18/2017, Cuyahoga",0.4,5
"12/19/2017, Cuyahoga",0.7,8
"12/20/2017, Cuyahoga",0.7,8
"12/21/2017, Cuyahoga",0.3,3
"12/22/2017, Cuyahoga",0.5,6
"12/23/2017, Cuyahoga",0.4,5
"12/24/2017, Cuyahoga",0.3,3
"12/25/2017, Cuyahoga",0.3,3
"12/26/2017, Cuyahoga",0.2,2
"12/27/2017, Cuyahoga",0.3,3
"12/28/2017, Cuyahoga",0.4,5
"12/29/2017, Cuyahoga",0.4,5
"12/30/2017, Cuyahoga",0.2,2
"12/31/2017, Cuyahoga",0.2,2
"01/01/2017, Cuyahoga",0.5,6
"01/02/2017, Cuyahoga",0.5,6
"01/03/2017, Cuyahoga",0.4,5
"01/04/2017, Cuyahoga",0.2,2
"01/06/2017, Cuyahoga",0.3,3
"01/07/2017, Cuyahoga",0.3,3
"01/08/2017, Cuyahoga",0.2,2
"01/09/2017, Cuyahoga",0.4,5
"01/10/2017, Cuyahoga",0.4,5
"01/11/2017, Cuyahoga",0.4,5
"01/12/2017, Cuyahoga",0.3,3
"01/13/2017, Cuyahoga",0.3,3
"01/14/2017, Cuyahoga",0.3,3
"01/15/2017, Cuyahoga",0.7,8
"01/16/2017, Cuyahoga",0.7,8
"01/17/2017, Cuyahoga",0.5,6
"01/18/2017, Cuyahoga",0.3,3
"01/19/2017, Cuyahoga",0.3,3
"01/20/2017, Cuyahoga",0.5,6
"01/21/2017, Cuyahoga",0.6,7
"01/22/2017, Cuyahoga",0.4,5
"01/23/2017, Cuyahoga",0.4,5
"01/24/2017, Cuyahoga",0.3,3
"01/25/2017, Cuyahoga",0.3,3
"01/26/2017, Cuyahoga",0.2,2
"01/27/2017, Cuyahoga",0.2,2
"01/28/2017, Cuyahoga",0.2,2
"01/29/2017, Cuyahoga",0.2,2
"01/30/2017, Cuyahoga",0.3,3
"01/31/2017, Cuyahoga",0.3,3
"02/01/2017, Cuyahoga",0.3,3
"02/02/2017, Cuyahoga",0.3,3
"02/03/2017, Cuyahoga",0.3,3
"02/04/2017, Cuyahoga",0.2,2
"02/05/2017, Cuyahoga",0.2,2
"02/07/2017, Cuyahoga",0.5,6
"02/08/2017, Cuyahoga",0.3,3
"02/09/2017, Cuyahoga",0.2,2
"02/10/2017, Cuyahoga",0.6,7
"02/11/2017, Cuyahoga",0.6,7
"02/12/2017, Cuyahoga",0.7,8
"02/13/2017, Cuyahoga",0.5,6
"02/14/2017, Cuyahoga",0.6,7
"02/15/2017, Cuyahoga",0.2,2
"02/16/2017, Cuyahoga",0.4,5
"02/17/2017, Cuyahoga",0.5,6
"02/18/2017, Cuyahoga",0.4,5
"02/19/2017, Cuyahoga",0.5,6
"02/20/2017, Cuyahoga",1.0,11
"02/21/2017, Cuyahoga",0.6,7
"02/22/2017, Cuyahoga",0.7,8
"02/23/2017, Cuyahoga",0.5,6
"02/24/2017, Cuyahoga",0.5,6
"02/25/2017, Cuyahoga",0.2,2
"02/26/2017, Cuyahoga",0.2,2
"02/27/2017, Cuyahoga",0.3,3
"02/28/2017, Cuyahoga",0.6,7
"03/01/2017, Cuyahoga",0.4,5
"03/02/2017, Cuyahoga",0.2,2
"03/03/2017, Cuyahoga",0.2,2
"03/04/2017, Cuyahoga",0.2,2
"03/05/2017, Cuyahoga",0.4,5
"03/07/2017, Cuyahoga",0.4,5
"03/10/2017, Cuyahoga",0.2,2
"03/11/2017, Cuyahoga",0.2,2
"03/12/2017, Cuyahoga",0.2,2
"03/13/2017, Cuyahoga",0.3,3
"03/14/2017, Cuyahoga",0.2,2
"03/15/2017, Cuyahoga",0.2,2
"03/16/2017, Cuyahoga",0.3,3
"03/17/2017, Cuyahoga",0.7,8
"03/18/2017, Cuyahoga",0.4,5
"03/19/2017, Cuyahoga",0.3,3
"03/20/2017, Cuyahoga",0.5,6
"03/21/2017, Cuyahoga",0.5,6
"03/22/2017, Cuyahoga",0.3,3
"03/23/2017, Cuyahoga",0.6,7
"03/24/2017, Cuyahoga",0.5,6
"03/25/2017, Cuyahoga",0.6,7
"03/26/2017, Cuyahoga",0.5,6
"03/27/2017, Cuyahoga",0.3,3
"03/28/2017, Cuyahoga",0.4,5
"03/29/2017, Cuyahoga",0.3,3
"03/30/2017, Cuyahoga",0.3,3
"03/31/2017, Cuyahoga",0.4,5
"04/01/2017, Cuyahoga",0.3,3
"04/02/2017, Cuyahoga",0.5,6
"04/04/2017, Cuyahoga",0.3,3
"04/05/2017, Cuyahoga",0.3,3
"04/06/2017, Cuyahoga",0.3,3
"04/07/2017, Cuyahoga",0.3,3
"04/08/2017, Cuyahoga",0.5,6
"04/09/2017, Cuyahoga",0.5,6
