date_county,Daily Max 1-hour NO2 Concentration,DAILY_AQI_VALUE
"01/01/2017, Cuyahoga",36,34
"01/02/2017, Cuyahoga",33,31
"01/03/2017, Cuyahoga",24,23
"01/05/2017, Cuyahoga",19,18
"01/06/2017, Cuyahoga",25,24
"01/07/2017, Cuyahoga",26,25
"01/08/2017, Cuyahoga",9,8
"01/09/2017, Cuyahoga",26,25
"01/10/2017, Cuyahoga",27,25
"01/11/2017, Cuyahoga",25,24
"01/12/2017, Cuyahoga",22,21
"01/13/2017, Cuyahoga",14,13
"01/14/2017, Cuyahoga",20,19
"01/15/2017, Cuyahoga",37,35
"01/16/2017, Cuyahoga",34,32
"01/17/2017, Cuyahoga",24,23
"01/18/2017, Cuyahoga",14,13
"01/19/2017, Cuyahoga",23,22
"01/20/2017, Cuyahoga",22,21
"01/21/2017, Cuyahoga",22,21
"01/22/2017, Cuyahoga",21,20
"01/23/2017, Cuyahoga",19,18
"01/24/2017, Cuyahoga",16,15
"01/25/2017, Cuyahoga",24,23
"01/26/2017, Cuyahoga",10,9
"01/27/2017, Cuyahoga",12,11
"01/28/2017, Cuyahoga",7,7
"01/29/2017, Cuyahoga",18,17
"01/30/2017, Cuyahoga",21,20
"01/31/2017, Cuyahoga",31,29
"02/01/2017, Cuyahoga",32,30
"02/02/2017, Cuyahoga",17,16
"02/03/2017, Cuyahoga",24,23
"02/04/2017, Cuyahoga",17,16
"02/05/2017, Cuyahoga",10,9
"02/06/2017, Cuyahoga",45,42
"02/07/2017, Cuyahoga",30,28
"02/08/2017, Cuyahoga",12,11
"02/09/2017, Cuyahoga",10,9
"02/10/2017, Cuyahoga",22,21
"02/11/2017, Cuyahoga",33,31
"02/12/2017, Cuyahoga",31,29
"02/13/2017, Cuyahoga",46,43
"02/14/2017, Cuyahoga",17,16
"02/15/2017, Cuyahoga",10,9
"02/16/2017, Cuyahoga",46,43
"02/17/2017, Cuyahoga",39,37
"02/18/2017, Cuyahoga",13,12
"02/19/2017, Cuyahoga",39,37
"02/20/2017, Cuyahoga",45,42
"02/21/2017, Cuyahoga",43,41
"02/22/2017, Cuyahoga",38,36
"02/23/2017, Cuyahoga",36,34
"02/24/2017, Cuyahoga",30,28
"02/25/2017, Cuyahoga",5,5
"02/26/2017, Cuyahoga",7,7
"02/27/2017, Cuyahoga",18,17
"02/28/2017, Cuyahoga",25,24
"03/01/2017, Cuyahoga",29,27
"03/02/2017, Cuyahoga",9,8
"03/03/2017, Cuyahoga",14,13
"03/04/2017, Cuyahoga",12,11
"03/05/2017, Cuyahoga",14,13
"03/06/2017, Cuyahoga",43,41
"03/07/2017, Cuyahoga",11,10
"03/10/2017, Cuyahoga",10,9
"03/11/2017, Cuyahoga",17,16
"03/12/2017, Cuyahoga",18,17
"03/13/2017, Cuyahoga",16,15
"03/14/2017, Cuyahoga",8,8
"03/15/2017, Cuyahoga",9,8
"03/16/2017, Cuyahoga",40,38
"03/17/2017, Cuyahoga",49,46
"03/18/2017, Cuyahoga",19,18
"03/19/2017, Cuyahoga",35,33
"03/20/2017, Cuyahoga",36,34
"03/21/2017, Cuyahoga",37,35
"03/22/2017, Cuyahoga",20,19
"03/23/2017, Cuyahoga",45,42
"03/24/2017, Cuyahoga",20,19
"03/25/2017, Cuyahoga",42,40
"03/26/2017, Cuyahoga",28,26
"03/27/2017, Cuyahoga",19,18
"03/28/2017, Cuyahoga",33,31
"03/29/2017, Cuyahoga",32,30
"03/30/2017, Cuyahoga",19,18
"03/31/2017, Cuyahoga",30,28
"04/01/2017, Cuyahoga",28,26
"04/02/2017, Cuyahoga",29,27
"04/03/2017, Cuyahoga",21,20
"04/05/2017, Cuyahoga",27,25
"04/06/2017, Cuyahoga",21,20
"04/07/2017, Cuyahoga",33,31
"04/08/2017, Cuyahoga",43,41
"04/09/2017, Cuyahoga",31,29
"04/10/2017, Cuyahoga",25,24
"04/11/2017, Cuyahoga",32,30
"04/12/2017, Cuyahoga",31,29
"04/13/2017, Cuyahoga",31,29
"04/14/2017, Cuyahoga",40,38
"04/15/2017, Cuyahoga",24,23
"04/16/2017, Cuyahoga",10,9
"04/17/2017, Cuyahoga",31,29
"04/18/2017, Cuyahoga",30,28
"04/19/2017, Cuyahoga",25,24
"04/20/2017, Cuyahoga",29,27
"04/21/2017, Cuyahoga",8,8
"04/22/2017, Cuyahoga",13,12
"04/23/2017, Cuyahoga",39,37
"04/24/2017, Cuyahoga",44,42
"04/25/2017, Cuyahoga",15,14
"04/26/2017, Cuyahoga",33,31
"04/27/2017, Cuyahoga",31,29
"04/28/2017, Cuyahoga",23,22
"04/29/2017, Cuyahoga",11,10
"04/30/2017, Cuyahoga",13,12
"05/01/2017, Cuyahoga",17,16
"05/02/2017, Cuyahoga",6,6
"05/03/2017, Cuyahoga",12,11
"05/04/2017, Cuyahoga",22,21
"05/05/2017, Cuyahoga",12,11
"05/06/2017, Cuyahoga",4,4
"05/07/2017, Cuyahoga",13,12
"05/08/2017, Cuyahoga",35,33
"05/09/2017, Cuyahoga",48,45
"05/10/2017, Cuyahoga",34,32
"05/11/2017, Cuyahoga",19,18
"05/12/2017, Cuyahoga",29,27
"05/13/2017, Cuyahoga",23,22
"05/14/2017, Cuyahoga",15,14
"05/15/2017, Cuyahoga",38,36
"05/16/2017, Cuyahoga",26,25
"05/17/2017, Cuyahoga",41,39
"05/18/2017, Cuyahoga",11,10
"05/19/2017, Cuyahoga",11,10
"05/20/2017, Cuyahoga",11,10
"05/21/2017, Cuyahoga",11,10
"05/22/2017, Cuyahoga",21,20
"05/23/2017, Cuyahoga",39,37
"05/24/2017, Cuyahoga",32,30
"05/25/2017, Cuyahoga",22,21
"05/26/2017, Cuyahoga",31,29
"05/27/2017, Cuyahoga",24,23
"05/28/2017, Cuyahoga",14,13
"05/29/2017, Cuyahoga",14,13
"05/30/2017, Cuyahoga",20,19
"05/31/2017, Cuyahoga",36,34
"06/01/2017, Cuyahoga",39,37
"06/02/2017, Cuyahoga",38,36
"06/03/2017, Cuyahoga",18,17
"06/04/2017, Cuyahoga",33,31
"06/05/2017, Cuyahoga",11,10
"06/06/2017, Cuyahoga",10,9
"06/07/2017, Cuyahoga",17,16
"06/08/2017, Cuyahoga",36,34
"06/09/2017, Cuyahoga",36,34
"06/10/2017, Cuyahoga",10,9
"06/11/2017, Cuyahoga",19,18
"06/12/2017, Cuyahoga",14,13
"06/13/2017, Cuyahoga",18,17
"06/14/2017, Cuyahoga",28,26
"06/15/2017, Cuyahoga",32,30
"06/16/2017, Cuyahoga",24,23
"06/17/2017, Cuyahoga",15,14
"06/18/2017, Cuyahoga",5,5
"06/19/2017, Cuyahoga",15,14
"06/20/2017, Cuyahoga",14,13
"06/21/2017, Cuyahoga",27,25
"06/22/2017, Cuyahoga",27,25
"06/23/2017, Cuyahoga",11,10
"06/24/2017, Cuyahoga",9,8
"06/25/2017, Cuyahoga",9,8
"06/26/2017, Cuyahoga",11,10
"06/27/2017, Cuyahoga",30,28
"06/28/2017, Cuyahoga",16,15
"06/29/2017, Cuyahoga",22,21
"06/30/2017, Cuyahoga",16,15
"07/01/2017, Cuyahoga",24,23
"07/02/2017, Cuyahoga",12,11
"07/03/2017, Cuyahoga",15,14
"07/04/2017, Cuyahoga",13,12
"07/05/2017, Cuyahoga",23,22
"07/06/2017, Cuyahoga",34,32
"07/07/2017, Cuyahoga",17,16
"07/08/2017, Cuyahoga",13,12
"07/09/2017, Cuyahoga",16,15
"07/10/2017, Cuyahoga",31,29
"07/12/2017, Cuyahoga",11,10
"07/13/2017, Cuyahoga",16,15
"07/14/2017, Cuyahoga",10,9
"07/15/2017, Cuyahoga",21,20
"07/16/2017, Cuyahoga",15,14
"07/17/2017, Cuyahoga",24,23
"07/18/2017, Cuyahoga",31,29
"07/19/2017, Cuyahoga",36,34
"07/20/2017, Cuyahoga",31,29
"07/21/2017, Cuyahoga",40,38
"07/22/2017, Cuyahoga",18,17
"07/23/2017, Cuyahoga",8,8
"07/24/2017, Cuyahoga",13,12
"07/25/2017, Cuyahoga",18,17
"07/26/2017, Cuyahoga",29,27
"07/27/2017, Cuyahoga",32,30
"07/28/2017, Cuyahoga",19,18
"07/29/2017, Cuyahoga",11,10
"07/30/2017, Cuyahoga",18,17
"07/31/2017, Cuyahoga",35,33
"08/01/2017, Cuyahoga",46,43
"08/02/2017, Cuyahoga",35,33
"08/03/2017, Cuyahoga",32,30
"08/04/2017, Cuyahoga",22,21
"08/05/2017, Cuyahoga",24,23
"08/06/2017, Cuyahoga",19,18
"08/07/2017, Cuyahoga",23,22
"08/08/2017, Cuyahoga",30,28
"08/09/2017, Cuyahoga",31,29
"08/10/2017, Cuyahoga",33,31
"08/11/2017, Cuyahoga",21,20
"08/12/2017, Cuyahoga",15,14
"08/13/2017, Cuyahoga",19,18
"08/14/2017, Cuyahoga",39,37
"08/15/2017, Cuyahoga",37,35
"08/16/2017, Cuyahoga",34,32
"08/17/2017, Cuyahoga",28,26
"08/18/2017, Cuyahoga",11,10
"08/19/2017, Cuyahoga",27,25
"08/20/2017, Cuyahoga",18,17
"08/21/2017, Cuyahoga",33,31
"08/23/2017, Cuyahoga",30,28
"08/24/2017, Cuyahoga",25,24
"08/25/2017, Cuyahoga",30,28
"08/26/2017, Cuyahoga",25,24
"08/27/2017, Cuyahoga",22,21
"08/28/2017, Cuyahoga",18,17
"08/29/2017, Cuyahoga",21,20
"08/30/2017, Cuyahoga",27,25
"08/31/2017, Cuyahoga",16,15
"09/01/2017, Cuyahoga",13,12
"09/02/2017, Cuyahoga",10,9
"09/03/2017, Cuyahoga",24,23
"09/04/2017, Cuyahoga",7,7
"09/05/2017, Cuyahoga",15,14
"09/06/2017, Cuyahoga",19,18
"09/07/2017, Cuyahoga",11,10
"09/08/2017, Cuyahoga",19,18
"09/09/2017, Cuyahoga",19,18
"09/10/2017, Cuyahoga",23,22
"09/11/2017, Cuyahoga",26,25
"09/12/2017, Cuyahoga",26,25
"09/13/2017, Cuyahoga",24,23
"09/14/2017, Cuyahoga",24,23
"09/15/2017, Cuyahoga",37,35
"09/16/2017, Cuyahoga",25,24
"09/17/2017, Cuyahoga",26,25
"09/18/2017, Cuyahoga",28,26
"09/19/2017, Cuyahoga",36,34
"09/20/2017, Cuyahoga",35,33
"09/21/2017, Cuyahoga",44,42
"09/22/2017, Cuyahoga",37,35
"09/23/2017, Cuyahoga",41,39
"09/24/2017, Cuyahoga",40,38
"09/25/2017, Cuyahoga",46,43
"09/26/2017, Cuyahoga",50,47
"09/27/2017, Cuyahoga",46,43
"09/28/2017, Cuyahoga",22,21
"09/29/2017, Cuyahoga",28,26
"09/30/2017, Cuyahoga",13,12
"10/01/2017, Cuyahoga",35,33
"10/02/2017, Cuyahoga",39,37
"10/03/2017, Cuyahoga",36,34
"10/04/2017, Cuyahoga",40,38
"10/05/2017, Cuyahoga",23,22
"10/06/2017, Cuyahoga",26,25
"10/07/2017, Cuyahoga",16,15
"10/08/2017, Cuyahoga",8,8
"10/09/2017, Cuyahoga",26,25
"10/11/2017, Cuyahoga",22,21
"10/12/2017, Cuyahoga",16,15
"10/13/2017, Cuyahoga",34,32
"10/14/2017, Cuyahoga",24,23
"10/15/2017, Cuyahoga",3,3
"10/16/2017, Cuyahoga",28,26
"10/17/2017, Cuyahoga",29,27
"10/18/2017, Cuyahoga",36,34
"10/19/2017, Cuyahoga",35,33
"10/20/2017, Cuyahoga",43,41
"10/21/2017, Cuyahoga",33,31
"10/22/2017, Cuyahoga",19,18
"10/23/2017, Cuyahoga",29,27
"10/26/2017, Cuyahoga",32,30
"10/27/2017, Cuyahoga",25,24
"10/28/2017, Cuyahoga",9,8
"10/29/2017, Cuyahoga",15,14
"10/30/2017, Cuyahoga",14,13
"10/31/2017, Cuyahoga",25,24
"11/01/2017, Cuyahoga",25,24
"11/02/2017, Cuyahoga",23,22
"11/03/2017, Cuyahoga",15,14
"11/04/2017, Cuyahoga",19,18
"11/05/2017, Cuyahoga",11,10
"11/06/2017, Cuyahoga",11,10
"11/07/2017, Cuyahoga",14,13
"11/08/2017, Cuyahoga",34,32
"11/09/2017, Cuyahoga",30,28
"11/11/2017, Cuyahoga",30,28
"11/12/2017, Cuyahoga",35,33
"11/13/2017, Cuyahoga",32,30
"11/14/2017, Cuyahoga",32,30
"11/15/2017, Cuyahoga",27,25
"11/16/2017, Cuyahoga",11,10
"11/17/2017, Cuyahoga",12,11
"11/18/2017, Cuyahoga",18,17
"11/19/2017, Cuyahoga",3,3
"11/20/2017, Cuyahoga",16,15
"11/21/2017, Cuyahoga",16,15
"11/22/2017, Cuyahoga",22,21
"11/23/2017, Cuyahoga",17,16
"11/24/2017, Cuyahoga",20,19
"11/25/2017, Cuyahoga",10,9
"11/26/2017, Cuyahoga",11,10
"11/29/2017, Cuyahoga",19,18
"11/30/2017, Cuyahoga",35,33
"12/01/2017, Cuyahoga",39,37
"12/02/2017, Cuyahoga",36,34
"12/03/2017, Cuyahoga",39,37
"12/04/2017, Cuyahoga",34,32
"12/06/2017, Cuyahoga",11,10
"12/07/2017, Cuyahoga",21,20
"12/08/2017, Cuyahoga",16,15
"12/09/2017, Cuyahoga",23,22
"12/10/2017, Cuyahoga",13,12
"12/11/2017, Cuyahoga",22,21
"12/12/2017, Cuyahoga",15,14
"12/13/2017, Cuyahoga",17,16
"12/14/2017, Cuyahoga",27,25
"12/15/2017, Cuyahoga",20,19
"12/16/2017, Cuyahoga",29,27
"12/17/2017, Cuyahoga",31,29
"12/18/2017, Cuyahoga",16,15
"12/19/2017, Cuyahoga",12,11
"12/20/2017, Cuyahoga",36,34
"12/21/2017, Cuyahoga",27,25
"12/22/2017, Cuyahoga",27,25
"12/23/2017, Cuyahoga",18,17
"12/24/2017, Cuyahoga",28,26
"12/25/2017, Cuyahoga",8,8
