date_county,Daily Max 8-hour Ozone Concentration,DAILY_AQI_VALUE
"03/01/2017, Cuyahoga",0.038,35
"03/02/2017, Cuyahoga",0.04,37
"03/03/2017, Cuyahoga",0.04,37
"03/04/2017, Cuyahoga",0.041,38
"03/05/2017, Cuyahoga",0.039,36
"03/06/2017, Cuyahoga",0.042,39
"03/07/2017, Cuyahoga",0.039,36
"03/08/2017, Cuyahoga",0.047,44
"03/09/2017, Cuyahoga",0.04,37
"03/10/2017, Cuyahoga",0.04,37
"03/11/2017, Cuyahoga",0.042,39
"03/12/2017, Cuyahoga",0.042,39
"03/13/2017, Cuyahoga",0.037,34
"03/14/2017, Cuyahoga",0.042,39
"03/15/2017, Cuyahoga",0.046,43
"03/16/2017, Cuyahoga",0.044,41
"03/17/2017, Cuyahoga",0.037,34
"03/18/2017, Cuyahoga",0.028,26
"03/19/2017, Cuyahoga",0.042,39
"03/20/2017, Cuyahoga",0.024,22
"03/21/2017, Cuyahoga",0.04,37
"03/22/2017, Cuyahoga",0.041,38
"03/23/2017, Cuyahoga",0.042,39
"03/24/2017, Cuyahoga",0.055,51
"03/25/2017, Cuyahoga",0.027,25
"03/26/2017, Cuyahoga",0.037,34
"03/27/2017, Cuyahoga",0.031,29
"03/28/2017, Cuyahoga",0.029,27
"03/29/2017, Cuyahoga",0.038,35
"03/30/2017, Cuyahoga",0.033,31
"03/31/2017, Cuyahoga",0.032,30
"04/01/2017, Cuyahoga",0.046,43
"04/02/2017, Cuyahoga",0.047,44
"04/03/2017, Cuyahoga",0.045,42
"04/04/2017, Cuyahoga",0.04,37
"04/05/2017, Cuyahoga",0.048,44
"04/06/2017, Cuyahoga",0.036,33
"04/07/2017, Cuyahoga",0.044,41
"04/08/2017, Cuyahoga",0.044,41
"04/09/2017, Cuyahoga",0.059,64
"04/10/2017, Cuyahoga",0.06,67
"04/11/2017, Cuyahoga",0.041,38
"04/12/2017, Cuyahoga",0.039,36
"04/13/2017, Cuyahoga",0.036,33
"04/14/2017, Cuyahoga",0.049,45
"04/15/2017, Cuyahoga",0.058,61
"04/16/2017, Cuyahoga",0.052,48
"04/17/2017, Cuyahoga",0.045,42
"04/18/2017, Cuyahoga",0.055,51
"04/19/2017, Cuyahoga",0.038,35
"04/20/2017, Cuyahoga",0.039,36
"04/21/2017, Cuyahoga",0.034,31
"04/22/2017, Cuyahoga",0.039,36
"04/23/2017, Cuyahoga",0.045,42
"04/25/2017, Cuyahoga",0.045,42
"04/26/2017, Cuyahoga",0.051,47
"04/27/2017, Cuyahoga",0.048,44
"04/28/2017, Cuyahoga",0.033,31
"04/29/2017, Cuyahoga",0.035,32
"04/30/2017, Cuyahoga",0.033,31
"05/01/2017, Cuyahoga",0.047,44
"05/02/2017, Cuyahoga",0.042,39
"05/03/2017, Cuyahoga",0.042,39
"05/04/2017, Cuyahoga",0.031,29
"05/05/2017, Cuyahoga",0.038,35
"05/06/2017, Cuyahoga",0.037,34
"05/07/2017, Cuyahoga",0.042,39
"05/10/2017, Cuyahoga",0.046,43
"05/11/2017, Cuyahoga",0.034,31
"05/12/2017, Cuyahoga",0.036,33
"05/13/2017, Cuyahoga",0.054,50
"05/14/2017, Cuyahoga",0.042,39
"05/15/2017, Cuyahoga",0.033,31
"05/16/2017, Cuyahoga",0.069,97
"05/17/2017, Cuyahoga",0.057,58
"05/18/2017, Cuyahoga",0.045,42
"05/19/2017, Cuyahoga",0.028,26
"05/20/2017, Cuyahoga",0.034,31
"05/21/2017, Cuyahoga",0.036,33
"05/22/2017, Cuyahoga",0.05,46
"05/23/2017, Cuyahoga",0.055,51
"05/24/2017, Cuyahoga",0.038,35
"05/25/2017, Cuyahoga",0.031,29
"05/26/2017, Cuyahoga",0.04,37
"05/27/2017, Cuyahoga",0.042,39
"05/28/2017, Cuyahoga",0.046,43
"05/29/2017, Cuyahoga",0.052,48
"05/30/2017, Cuyahoga",0.05,46
"05/31/2017, Cuyahoga",0.053,49
"06/01/2017, Cuyahoga",0.048,44
"06/02/2017, Cuyahoga",0.048,44
"06/03/2017, Cuyahoga",0.055,51
"06/04/2017, Cuyahoga",0.059,64
"06/05/2017, Cuyahoga",0.047,44
"06/06/2017, Cuyahoga",0.03,28
"06/07/2017, Cuyahoga",0.033,31
"06/08/2017, Cuyahoga",0.041,38
"06/09/2017, Cuyahoga",0.05,46
"06/10/2017, Cuyahoga",0.071,101
"06/11/2017, Cuyahoga",0.067,90
"06/12/2017, Cuyahoga",0.059,64
"06/13/2017, Cuyahoga",0.078,126
"06/14/2017, Cuyahoga",0.062,74
"06/15/2017, Cuyahoga",0.05,46
"06/16/2017, Cuyahoga",0.061,71
"06/17/2017, Cuyahoga",0.062,74
"06/18/2017, Cuyahoga",0.042,39
"06/19/2017, Cuyahoga",0.045,42
"06/20/2017, Cuyahoga",0.047,44
"06/21/2017, Cuyahoga",0.048,44
"06/22/2017, Cuyahoga",0.049,45
"06/23/2017, Cuyahoga",0.031,29
"06/24/2017, Cuyahoga",0.047,44
"06/25/2017, Cuyahoga",0.048,44
"06/26/2017, Cuyahoga",0.041,38
"06/27/2017, Cuyahoga",0.037,34
"06/28/2017, Cuyahoga",0.05,46
"06/29/2017, Cuyahoga",0.057,58
"06/30/2017, Cuyahoga",0.049,45
"07/01/2017, Cuyahoga",0.051,47
"07/02/2017, Cuyahoga",0.059,64
"07/03/2017, Cuyahoga",0.048,44
"07/04/2017, Cuyahoga",0.039,36
"07/05/2017, Cuyahoga",0.04,37
"07/06/2017, Cuyahoga",0.063,77
"07/07/2017, Cuyahoga",0.055,51
"07/08/2017, Cuyahoga",0.034,31
"07/09/2017, Cuyahoga",0.054,50
"07/10/2017, Cuyahoga",0.034,31
"07/11/2017, Cuyahoga",0.051,47
"07/12/2017, Cuyahoga",0.049,45
"07/13/2017, Cuyahoga",0.035,32
"07/14/2017, Cuyahoga",0.045,42
"07/15/2017, Cuyahoga",0.036,33
"07/16/2017, Cuyahoga",0.049,45
"07/17/2017, Cuyahoga",0.038,35
"07/18/2017, Cuyahoga",0.056,54
"07/19/2017, Cuyahoga",0.07,100
"07/20/2017, Cuyahoga",0.049,45
"07/22/2017, Cuyahoga",0.046,43
"07/23/2017, Cuyahoga",0.052,48
"07/24/2017, Cuyahoga",0.03,28
"07/25/2017, Cuyahoga",0.034,31
"07/26/2017, Cuyahoga",0.055,51
"07/27/2017, Cuyahoga",0.062,74
"07/28/2017, Cuyahoga",0.034,31
"07/29/2017, Cuyahoga",0.034,31
"07/30/2017, Cuyahoga",0.034,31
"07/31/2017, Cuyahoga",0.043,40
"08/01/2017, Cuyahoga",0.06,67
"08/02/2017, Cuyahoga",0.069,97
"08/03/2017, Cuyahoga",0.047,44
"08/04/2017, Cuyahoga",0.034,31
"08/05/2017, Cuyahoga",0.034,31
"08/06/2017, Cuyahoga",0.042,39
"08/07/2017, Cuyahoga",0.044,41
"08/08/2017, Cuyahoga",0.044,41
"08/09/2017, Cuyahoga",0.055,51
"08/10/2017, Cuyahoga",0.053,49
"08/11/2017, Cuyahoga",0.043,40
"08/12/2017, Cuyahoga",0.05,46
"08/13/2017, Cuyahoga",0.029,27
"08/14/2017, Cuyahoga",0.05,46
"08/15/2017, Cuyahoga",0.06,67
"08/16/2017, Cuyahoga",0.047,44
"08/17/2017, Cuyahoga",0.034,31
"08/18/2017, Cuyahoga",0.044,41
"08/19/2017, Cuyahoga",0.054,50
"08/20/2017, Cuyahoga",0.058,61
"08/21/2017, Cuyahoga",0.057,58
"08/22/2017, Cuyahoga",0.039,36
"08/23/2017, Cuyahoga",0.038,35
"08/24/2017, Cuyahoga",0.036,33
"08/25/2017, Cuyahoga",0.035,32
"08/26/2017, Cuyahoga",0.043,40
"08/27/2017, Cuyahoga",0.046,43
"08/28/2017, Cuyahoga",0.052,48
"08/29/2017, Cuyahoga",0.041,38
"08/30/2017, Cuyahoga",0.056,54
"08/31/2017, Cuyahoga",0.032,30
"09/01/2017, Cuyahoga",0.033,31
"09/02/2017, Cuyahoga",0.029,27
"09/03/2017, Cuyahoga",0.045,42
"09/04/2017, Cuyahoga",0.05,46
"09/05/2017, Cuyahoga",0.042,39
"09/06/2017, Cuyahoga",0.031,29
"09/07/2017, Cuyahoga",0.023,21
"09/08/2017, Cuyahoga",0.032,30
"09/09/2017, Cuyahoga",0.031,29
"09/10/2017, Cuyahoga",0.03,28
"09/11/2017, Cuyahoga",0.034,31
"09/12/2017, Cuyahoga",0.04,37
"09/13/2017, Cuyahoga",0.037,34
"09/14/2017, Cuyahoga",0.031,29
"09/15/2017, Cuyahoga",0.039,36
"09/16/2017, Cuyahoga",0.047,44
"09/17/2017, Cuyahoga",0.051,47
"09/18/2017, Cuyahoga",0.048,44
"09/19/2017, Cuyahoga",0.037,34
"09/20/2017, Cuyahoga",0.048,44
"09/21/2017, Cuyahoga",0.054,50
"09/22/2017, Cuyahoga",0.046,43
"09/23/2017, Cuyahoga",0.056,54
"09/24/2017, Cuyahoga",0.061,71
"09/25/2017, Cuyahoga",0.062,74
"09/26/2017, Cuyahoga",0.058,61
"09/27/2017, Cuyahoga",0.055,51
"09/28/2017, Cuyahoga",0.038,35
"09/29/2017, Cuyahoga",0.038,35
"09/30/2017, Cuyahoga",0.034,31
"10/01/2017, Cuyahoga",0.039,36
"10/02/2017, Cuyahoga",0.041,38
"10/03/2017, Cuyahoga",0.053,49
"10/04/2017, Cuyahoga",0.04,37
"10/05/2017, Cuyahoga",0.031,29
"10/06/2017, Cuyahoga",0.027,25
"10/07/2017, Cuyahoga",0.042,39
"10/08/2017, Cuyahoga",0.029,27
"10/09/2017, Cuyahoga",0.024,22
"10/10/2017, Cuyahoga",0.035,32
"10/11/2017, Cuyahoga",0.016,15
"10/12/2017, Cuyahoga",0.017,16
"10/13/2017, Cuyahoga",0.032,30
"10/14/2017, Cuyahoga",0.052,48
"10/15/2017, Cuyahoga",0.031,29
"10/16/2017, Cuyahoga",0.031,29
"10/17/2017, Cuyahoga",0.037,34
"10/18/2017, Cuyahoga",0.041,38
"10/19/2017, Cuyahoga",0.05,46
"10/20/2017, Cuyahoga",0.041,38
"10/21/2017, Cuyahoga",0.051,47
"10/22/2017, Cuyahoga",0.05,46
"10/23/2017, Cuyahoga",0.038,35
"10/24/2017, Cuyahoga",0.029,27
"10/25/2017, Cuyahoga",0.031,29
"10/26/2017, Cuyahoga",0.032,30
"10/27/2017, Cuyahoga",0.04,37
"10/28/2017, Cuyahoga",0.019,18
"10/29/2017, Cuyahoga",0.03,28
"10/30/2017, Cuyahoga",0.021,19
"01/01/2017, Cuyahoga",0.026,24
"01/02/2017, Cuyahoga",0.009,8
"01/03/2017, Cuyahoga",0.015,14
"01/04/2017, Cuyahoga",0.027,25
"01/05/2017, Cuyahoga",0.02,19
"01/06/2017, Cuyahoga",0.024,22
"01/07/2017, Cuyahoga",0.03,28
"01/08/2017, Cuyahoga",0.032,30
"01/09/2017, Cuyahoga",0.023,21
"01/10/2017, Cuyahoga",0.032,30
"01/11/2017, Cuyahoga",0.024,22
"01/12/2017, Cuyahoga",0.028,26
"01/13/2017, Cuyahoga",0.027,25
"01/14/2017, Cuyahoga",0.026,24
"01/15/2017, Cuyahoga",0.015,14
"01/16/2017, Cuyahoga",0.005,5
"01/17/2017, Cuyahoga",0.02,19
"01/18/2017, Cuyahoga",0.02,19
"01/19/2017, Cuyahoga",0.016,15
"01/20/2017, Cuyahoga",0.006,6
"01/21/2017, Cuyahoga",0.021,19
"01/22/2017, Cuyahoga",0.015,14
"01/23/2017, Cuyahoga",0.014,13
"01/24/2017, Cuyahoga",0.02,19
"01/25/2017, Cuyahoga",0.024,22
"01/26/2017, Cuyahoga",0.021,19
"01/27/2017, Cuyahoga",0.026,24
"01/28/2017, Cuyahoga",0.025,23
"01/29/2017, Cuyahoga",0.032,30
"01/30/2017, Cuyahoga",0.033,31
"01/31/2017, Cuyahoga",0.027,25
"02/01/2017, Cuyahoga",0.029,27
"02/02/2017, Cuyahoga",0.034,31
"02/03/2017, Cuyahoga",0.039,36
"02/04/2017, Cuyahoga",0.034,31
"02/05/2017, Cuyahoga",0.03,28
"02/06/2017, Cuyahoga",0.025,23
"02/07/2017, Cuyahoga",0.027,25
"02/08/2017, Cuyahoga",0.033,31
"02/09/2017, Cuyahoga",0.035,32
"02/10/2017, Cuyahoga",0.024,22
"02/11/2017, Cuyahoga",0.021,19
"02/12/2017, Cuyahoga",0.039,36
"02/13/2017, Cuyahoga",0.036,33
"02/14/2017, Cuyahoga",0.035,32
"02/15/2017, Cuyahoga",0.033,31
"02/16/2017, Cuyahoga",0.033,31
"02/17/2017, Cuyahoga",0.032,30
"02/18/2017, Cuyahoga",0.048,44
"02/19/2017, Cuyahoga",0.038,35
"02/20/2017, Cuyahoga",0.014,13
"02/21/2017, Cuyahoga",0.026,24
"02/22/2017, Cuyahoga",0.034,31
"02/23/2017, Cuyahoga",0.027,25
"02/24/2017, Cuyahoga",0.038,35
"02/25/2017, Cuyahoga",0.031,29
"02/26/2017, Cuyahoga",0.036,33
"02/27/2017, Cuyahoga",0.036,33
"02/28/2017, Cuyahoga",0.029,27
"03/01/2017, Cuyahoga",0.037,34
"03/02/2017, Cuyahoga",0.038,35
"03/03/2017, Cuyahoga",0.038,35
"03/04/2017, Cuyahoga",0.04,37
"03/05/2017, Cuyahoga",0.035,32
"03/06/2017, Cuyahoga",0.037,34
"03/07/2017, Cuyahoga",0.037,34
"03/09/2017, Cuyahoga",0.035,32
"03/10/2017, Cuyahoga",0.038,35
"03/11/2017, Cuyahoga",0.04,37
"03/12/2017, Cuyahoga",0.04,37
"03/13/2017, Cuyahoga",0.032,30
"03/14/2017, Cuyahoga",0.038,35
"03/15/2017, Cuyahoga",0.043,40
"03/16/2017, Cuyahoga",0.04,37
"03/17/2017, Cuyahoga",0.033,31
"03/18/2017, Cuyahoga",0.028,26
"03/19/2017, Cuyahoga",0.038,35
"03/20/2017, Cuyahoga",0.021,19
"03/21/2017, Cuyahoga",0.038,35
"03/23/2017, Cuyahoga",0.036,33
"03/24/2017, Cuyahoga",0.05,46
"03/25/2017, Cuyahoga",0.022,20
"03/26/2017, Cuyahoga",0.029,27
"03/27/2017, Cuyahoga",0.025,23
"03/28/2017, Cuyahoga",0.027,25
"03/29/2017, Cuyahoga",0.034,31
"03/30/2017, Cuyahoga",0.026,24
"03/31/2017, Cuyahoga",0.028,26
"04/01/2017, Cuyahoga",0.044,41
"04/02/2017, Cuyahoga",0.041,38
"04/03/2017, Cuyahoga",0.037,34
"04/04/2017, Cuyahoga",0.036,33
"04/05/2017, Cuyahoga",0.04,37
"04/06/2017, Cuyahoga",0.032,30
"04/07/2017, Cuyahoga",0.039,36
"04/08/2017, Cuyahoga",0.037,34
"04/09/2017, Cuyahoga",0.046,43
"04/10/2017, Cuyahoga",0.051,47
"04/11/2017, Cuyahoga",0.035,32
"04/12/2017, Cuyahoga",0.033,31
"04/13/2017, Cuyahoga",0.026,24
"04/14/2017, Cuyahoga",0.038,35
"04/15/2017, Cuyahoga",0.053,49
"04/16/2017, Cuyahoga",0.047,44
"04/17/2017, Cuyahoga",0.038,35
"04/18/2017, Cuyahoga",0.046,43
"04/19/2017, Cuyahoga",0.033,31
"04/20/2017, Cuyahoga",0.031,29
"04/21/2017, Cuyahoga",0.031,29
"04/22/2017, Cuyahoga",0.033,31
"04/23/2017, Cuyahoga",0.041,38
"04/24/2017, Cuyahoga",0.049,45
"04/25/2017, Cuyahoga",0.039,36
"04/26/2017, Cuyahoga",0.041,38
"04/27/2017, Cuyahoga",0.043,40
"04/28/2017, Cuyahoga",0.032,30
"04/29/2017, Cuyahoga",0.033,31
"04/30/2017, Cuyahoga",0.03,28
"05/01/2017, Cuyahoga",0.042,39
"05/02/2017, Cuyahoga",0.041,38
"05/03/2017, Cuyahoga",0.037,34
"05/04/2017, Cuyahoga",0.022,20
"05/05/2017, Cuyahoga",0.037,34
"05/06/2017, Cuyahoga",0.034,31
"05/07/2017, Cuyahoga",0.039,36
"05/08/2017, Cuyahoga",0.041,38
"05/09/2017, Cuyahoga",0.043,40
"05/10/2017, Cuyahoga",0.037,34
"05/11/2017, Cuyahoga",0.031,29
"05/12/2017, Cuyahoga",0.03,28
"05/13/2017, Cuyahoga",0.047,44
"05/14/2017, Cuyahoga",0.038,35
"05/15/2017, Cuyahoga",0.029,27
"05/16/2017, Cuyahoga",0.061,71
"05/17/2017, Cuyahoga",0.05,46
"05/18/2017, Cuyahoga",0.048,44
"05/19/2017, Cuyahoga",0.025,23
"05/20/2017, Cuyahoga",0.031,29
"05/21/2017, Cuyahoga",0.031,29
"05/22/2017, Cuyahoga",0.045,42
"05/23/2017, Cuyahoga",0.047,44
"05/24/2017, Cuyahoga",0.033,31
"05/25/2017, Cuyahoga",0.029,27
"05/26/2017, Cuyahoga",0.037,34
"05/27/2017, Cuyahoga",0.039,36
"05/28/2017, Cuyahoga",0.039,36
"05/29/2017, Cuyahoga",0.047,44
"05/30/2017, Cuyahoga",0.044,41
"05/31/2017, Cuyahoga",0.047,44
"06/01/2017, Cuyahoga",0.042,39
"06/02/2017, Cuyahoga",0.041,38
"06/03/2017, Cuyahoga",0.045,42
"06/04/2017, Cuyahoga",0.051,47
"06/05/2017, Cuyahoga",0.042,39
"06/06/2017, Cuyahoga",0.03,28
"06/07/2017, Cuyahoga",0.028,26
"06/08/2017, Cuyahoga",0.036,33
"06/09/2017, Cuyahoga",0.043,40
"06/10/2017, Cuyahoga",0.064,80
"06/11/2017, Cuyahoga",0.059,64
"06/12/2017, Cuyahoga",0.053,49
"06/13/2017, Cuyahoga",0.07,100
"06/14/2017, Cuyahoga",0.052,48
"06/15/2017, Cuyahoga",0.044,41
"06/16/2017, Cuyahoga",0.055,51
"06/17/2017, Cuyahoga",0.056,54
"06/18/2017, Cuyahoga",0.039,36
"06/19/2017, Cuyahoga",0.041,38
"06/20/2017, Cuyahoga",0.043,40
"06/21/2017, Cuyahoga",0.041,38
"06/22/2017, Cuyahoga",0.044,41
"06/23/2017, Cuyahoga",0.028,26
"06/24/2017, Cuyahoga",0.041,38
"06/25/2017, Cuyahoga",0.043,40
"06/27/2017, Cuyahoga",0.033,31
"06/28/2017, Cuyahoga",0.047,44
"06/29/2017, Cuyahoga",0.052,48
"06/30/2017, Cuyahoga",0.043,40
"07/01/2017, Cuyahoga",0.044,41
"07/02/2017, Cuyahoga",0.053,49
"07/03/2017, Cuyahoga",0.043,40
"07/04/2017, Cuyahoga",0.038,35
"07/05/2017, Cuyahoga",0.035,32
"07/06/2017, Cuyahoga",0.054,50
"07/07/2017, Cuyahoga",0.05,46
"07/08/2017, Cuyahoga",0.033,31
"07/09/2017, Cuyahoga",0.05,46
"07/10/2017, Cuyahoga",0.027,25
"07/11/2017, Cuyahoga",0.043,40
"07/12/2017, Cuyahoga",0.045,42
"07/13/2017, Cuyahoga",0.03,28
"07/14/2017, Cuyahoga",0.039,36
"07/15/2017, Cuyahoga",0.032,30
"07/16/2017, Cuyahoga",0.043,40
"07/17/2017, Cuyahoga",0.034,31
"07/18/2017, Cuyahoga",0.049,45
"07/19/2017, Cuyahoga",0.061,71
"07/20/2017, Cuyahoga",0.049,45
"07/21/2017, Cuyahoga",0.049,45
"07/22/2017, Cuyahoga",0.04,37
"07/23/2017, Cuyahoga",0.047,44
"07/24/2017, Cuyahoga",0.028,26
"07/25/2017, Cuyahoga",0.028,26
"07/26/2017, Cuyahoga",0.049,45
"07/27/2017, Cuyahoga",0.054,50
"07/28/2017, Cuyahoga",0.029,27
"07/29/2017, Cuyahoga",0.031,29
"07/30/2017, Cuyahoga",0.032,30
"07/31/2017, Cuyahoga",0.04,37
"08/01/2017, Cuyahoga",0.053,49
"08/02/2017, Cuyahoga",0.064,80
"08/03/2017, Cuyahoga",0.043,40
"08/04/2017, Cuyahoga",0.031,29
"08/05/2017, Cuyahoga",0.034,31
"08/06/2017, Cuyahoga",0.038,35
"08/07/2017, Cuyahoga",0.041,38
"08/08/2017, Cuyahoga",0.039,36
"08/09/2017, Cuyahoga",0.048,44
"08/10/2017, Cuyahoga",0.046,43
"08/11/2017, Cuyahoga",0.039,36
"08/12/2017, Cuyahoga",0.048,44
"08/13/2017, Cuyahoga",0.027,25
"08/14/2017, Cuyahoga",0.044,41
"08/15/2017, Cuyahoga",0.056,54
"08/16/2017, Cuyahoga",0.039,36
"08/17/2017, Cuyahoga",0.023,21
"08/18/2017, Cuyahoga",0.041,38
"08/19/2017, Cuyahoga",0.05,46
"08/20/2017, Cuyahoga",0.052,48
"08/21/2017, Cuyahoga",0.047,44
"08/22/2017, Cuyahoga",0.035,32
"08/23/2017, Cuyahoga",0.033,31
"08/24/2017, Cuyahoga",0.032,30
"08/25/2017, Cuyahoga",0.028,26
"08/26/2017, Cuyahoga",0.039,36
"08/27/2017, Cuyahoga",0.042,39
"08/29/2017, Cuyahoga",0.037,34
"08/30/2017, Cuyahoga",0.051,47
"08/31/2017, Cuyahoga",0.027,25
"09/01/2017, Cuyahoga",0.028,26
"09/02/2017, Cuyahoga",0.026,24
"09/03/2017, Cuyahoga",0.042,39
"09/04/2017, Cuyahoga",0.047,44
"09/05/2017, Cuyahoga",0.037,34
"09/06/2017, Cuyahoga",0.026,24
"09/07/2017, Cuyahoga",0.02,19
"09/08/2017, Cuyahoga",0.031,29
"09/09/2017, Cuyahoga",0.028,26
"09/10/2017, Cuyahoga",0.027,25
"09/11/2017, Cuyahoga",0.029,27
"09/12/2017, Cuyahoga",0.032,30
"09/13/2017, Cuyahoga",0.028,26
"09/14/2017, Cuyahoga",0.021,19
"09/15/2017, Cuyahoga",0.032,30
"09/16/2017, Cuyahoga",0.041,38
"09/17/2017, Cuyahoga",0.045,42
"09/18/2017, Cuyahoga",0.041,38
"09/19/2017, Cuyahoga",0.027,25
"09/20/2017, Cuyahoga",0.041,38
"09/21/2017, Cuyahoga",0.042,39
"09/22/2017, Cuyahoga",0.039,36
"09/23/2017, Cuyahoga",0.05,46
"09/24/2017, Cuyahoga",0.054,50
"09/25/2017, Cuyahoga",0.053,49
"09/26/2017, Cuyahoga",0.051,47
"09/27/2017, Cuyahoga",0.046,43
"09/28/2017, Cuyahoga",0.034,31
"09/29/2017, Cuyahoga",0.036,33
"09/30/2017, Cuyahoga",0.031,29
"10/01/2017, Cuyahoga",0.035,32
"10/02/2017, Cuyahoga",0.037,34
"10/03/2017, Cuyahoga",0.041,38
"10/04/2017, Cuyahoga",0.035,32
"10/05/2017, Cuyahoga",0.027,25
"10/06/2017, Cuyahoga",0.021,19
"10/07/2017, Cuyahoga",0.039,36
"10/08/2017, Cuyahoga",0.027,25
"10/09/2017, Cuyahoga",0.021,19
"10/10/2017, Cuyahoga",0.032,30
"10/11/2017, Cuyahoga",0.012,11
"10/12/2017, Cuyahoga",0.013,12
"10/13/2017, Cuyahoga",0.028,26
"10/14/2017, Cuyahoga",0.044,41
"10/15/2017, Cuyahoga",0.031,29
"10/16/2017, Cuyahoga",0.029,27
"10/17/2017, Cuyahoga",0.036,33
"10/18/2017, Cuyahoga",0.037,34
"10/19/2017, Cuyahoga",0.045,42
"10/20/2017, Cuyahoga",0.032,30
"10/21/2017, Cuyahoga",0.043,40
"10/22/2017, Cuyahoga",0.043,40
"10/23/2017, Cuyahoga",0.032,30
"10/24/2017, Cuyahoga",0.03,28
"10/25/2017, Cuyahoga",0.025,23
"10/26/2017, Cuyahoga",0.03,28
"10/27/2017, Cuyahoga",0.038,35
"10/28/2017, Cuyahoga",0.019,18
"10/29/2017, Cuyahoga",0.027,25
"10/30/2017, Cuyahoga",0.021,19
"10/31/2017, Cuyahoga",0.024,22
"11/01/2017, Cuyahoga",0.022,20
"11/02/2017, Cuyahoga",0.029,27
"11/03/2017, Cuyahoga",0.024,22
"11/04/2017, Cuyahoga",0.017,16
