date_county,Daily Mean PM10 Concentration,DAILY_AQI_VALUE
"02/03/2017, Cuyahoga",22,20
"02/04/2017, Cuyahoga",12,11
"02/05/2017, Cuyahoga",16,15
"02/06/2017, Cuyahoga",35,32
"02/07/2017, Cuyahoga",15,14
"02/08/2017, Cuyahoga",10,9
"02/09/2017, Cuyahoga",15,14
"02/10/2017, Cuyahoga",35,32
"02/11/2017, Cuyahoga",22,20
"02/12/2017, Cuyahoga",12,11
"02/13/2017, Cuyahoga",25,23
"02/14/2017, Cuyahoga",19,18
"02/15/2017, Cuyahoga",9,8
"02/16/2017, Cuyahoga",28,26
"02/17/2017, Cuyahoga",49,45
"02/18/2017, Cuyahoga",20,19
"02/19/2017, Cuyahoga",28,26
"02/20/2017, Cuyahoga",50,46
"02/21/2017, Cuyahoga",71,59
"02/22/2017, Cuyahoga",28,26
"02/23/2017, Cuyahoga",27,25
"02/24/2017, Cuyahoga",32,30
"02/25/2017, Cuyahoga",5,5
"02/26/2017, Cuyahoga",8,7
"02/27/2017, Cuyahoga",14,13
"02/28/2017, Cuyahoga",29,27
"03/01/2017, Cuyahoga",11,10
"03/02/2017, Cuyahoga",12,11
"03/03/2017, Cuyahoga",14,13
"03/04/2017, Cuyahoga",10,9
"03/05/2017, Cuyahoga",14,13
"03/06/2017, Cuyahoga",46,43
"03/07/2017, Cuyahoga",14,13
"04/13/2017, Cuyahoga",18,17
"04/14/2017, Cuyahoga",24,22
"04/15/2017, Cuyahoga",33,31
"04/16/2017, Cuyahoga",17,16
"04/17/2017, Cuyahoga",13,12
"04/18/2017, Cuyahoga",24,22
"04/19/2017, Cuyahoga",27,25
"04/20/2017, Cuyahoga",22,20
"04/21/2017, Cuyahoga",6,6
"04/22/2017, Cuyahoga",5,5
"04/23/2017, Cuyahoga",14,13
"04/24/2017, Cuyahoga",30,28
"04/25/2017, Cuyahoga",19,18
"04/26/2017, Cuyahoga",63,55
"04/27/2017, Cuyahoga",57,52
"04/28/2017, Cuyahoga",22,20
"04/29/2017, Cuyahoga",8,7
"04/30/2017, Cuyahoga",17,16
"05/01/2017, Cuyahoga",21,19
"05/02/2017, Cuyahoga",6,6
"05/03/2017, Cuyahoga",8,7
"05/04/2017, Cuyahoga",12,11
"05/05/2017, Cuyahoga",3,3
"05/06/2017, Cuyahoga",4,4
"05/07/2017, Cuyahoga",6,6
"05/08/2017, Cuyahoga",25,23
"05/09/2017, Cuyahoga",54,50
"05/10/2017, Cuyahoga",23,21
"05/11/2017, Cuyahoga",12,11
"05/12/2017, Cuyahoga",15,14
"05/13/2017, Cuyahoga",19,18
"05/14/2017, Cuyahoga",14,13
"05/15/2017, Cuyahoga",21,19
"05/16/2017, Cuyahoga",57,52
"05/17/2017, Cuyahoga",64,55
"05/18/2017, Cuyahoga",44,41
"05/19/2017, Cuyahoga",11,10
"05/20/2017, Cuyahoga",15,14
"05/21/2017, Cuyahoga",20,19
"05/22/2017, Cuyahoga",14,13
"05/23/2017, Cuyahoga",35,32
"05/24/2017, Cuyahoga",18,17
"05/25/2017, Cuyahoga",8,7
"05/26/2017, Cuyahoga",11,10
"05/27/2017, Cuyahoga",12,11
"05/28/2017, Cuyahoga",23,21
"05/29/2017, Cuyahoga",16,15
"05/30/2017, Cuyahoga",27,25
"05/31/2017, Cuyahoga",40,37
"06/01/2017, Cuyahoga",27,25
"06/02/2017, Cuyahoga",44,41
"06/03/2017, Cuyahoga",29,27
"06/04/2017, Cuyahoga",29,27
"06/05/2017, Cuyahoga",12,11
"06/06/2017, Cuyahoga",10,9
"06/07/2017, Cuyahoga",9,8
"06/08/2017, Cuyahoga",30,28
"06/09/2017, Cuyahoga",69,58
"06/10/2017, Cuyahoga",30,28
"06/11/2017, Cuyahoga",23,21
"06/12/2017, Cuyahoga",28,26
"06/13/2017, Cuyahoga",33,31
"06/14/2017, Cuyahoga",40,37
"06/15/2017, Cuyahoga",24,22
"06/16/2017, Cuyahoga",22,20
"06/17/2017, Cuyahoga",29,27
"06/18/2017, Cuyahoga",19,18
"06/19/2017, Cuyahoga",13,12
"06/20/2017, Cuyahoga",12,11
"06/21/2017, Cuyahoga",14,13
"06/22/2017, Cuyahoga",37,34
"06/23/2017, Cuyahoga",10,9
"06/24/2017, Cuyahoga",13,12
"06/25/2017, Cuyahoga",12,11
"06/26/2017, Cuyahoga",13,12
"06/27/2017, Cuyahoga",16,15
"06/28/2017, Cuyahoga",24,22
"06/29/2017, Cuyahoga",36,33
"06/30/2017, Cuyahoga",16,15
"07/01/2017, Cuyahoga",13,12
"07/02/2017, Cuyahoga",18,17
"07/03/2017, Cuyahoga",16,15
"07/04/2017, Cuyahoga",20,19
"07/05/2017, Cuyahoga",22,20
"07/06/2017, Cuyahoga",54,50
"07/07/2017, Cuyahoga",16,15
"07/08/2017, Cuyahoga",14,13
"07/09/2017, Cuyahoga",20,19
"07/10/2017, Cuyahoga",26,24
"07/11/2017, Cuyahoga",19,18
"07/12/2017, Cuyahoga",21,19
"07/13/2017, Cuyahoga",18,17
"07/14/2017, Cuyahoga",14,13
"07/15/2017, Cuyahoga",12,11
"07/16/2017, Cuyahoga",18,17
"07/17/2017, Cuyahoga",15,14
"07/18/2017, Cuyahoga",48,44
"07/19/2017, Cuyahoga",33,31
"07/20/2017, Cuyahoga",28,26
"07/21/2017, Cuyahoga",26,24
"07/22/2017, Cuyahoga",18,17
"07/23/2017, Cuyahoga",11,10
"07/24/2017, Cuyahoga",9,8
"07/25/2017, Cuyahoga",10,9
"07/26/2017, Cuyahoga",32,30
"07/27/2017, Cuyahoga",43,40
"07/28/2017, Cuyahoga",19,18
"07/29/2017, Cuyahoga",12,11
"07/30/2017, Cuyahoga",14,13
"07/31/2017, Cuyahoga",46,43
"08/01/2017, Cuyahoga",50,46
"08/02/2017, Cuyahoga",52,48
"08/03/2017, Cuyahoga",46,43
"08/04/2017, Cuyahoga",20,19
"08/05/2017, Cuyahoga",13,12
"08/06/2017, Cuyahoga",25,23
"08/07/2017, Cuyahoga",31,29
"08/08/2017, Cuyahoga",18,17
"08/09/2017, Cuyahoga",43,40
"08/10/2017, Cuyahoga",52,48
"08/11/2017, Cuyahoga",34,31
"08/12/2017, Cuyahoga",14,13
"08/13/2017, Cuyahoga",12,11
"08/14/2017, Cuyahoga",40,37
"08/15/2017, Cuyahoga",44,41
"08/16/2017, Cuyahoga",37,34
"08/17/2017, Cuyahoga",49,45
"08/18/2017, Cuyahoga",17,16
"08/19/2017, Cuyahoga",18,17
"08/20/2017, Cuyahoga",28,26
"08/21/2017, Cuyahoga",40,37
"08/22/2017, Cuyahoga",25,23
"08/23/2017, Cuyahoga",17,16
"08/24/2017, Cuyahoga",16,15
"08/25/2017, Cuyahoga",23,21
"08/26/2017, Cuyahoga",36,33
"08/27/2017, Cuyahoga",31,29
"08/28/2017, Cuyahoga",58,52
"08/29/2017, Cuyahoga",31,29
"08/30/2017, Cuyahoga",34,31
"08/31/2017, Cuyahoga",16,15
"09/01/2017, Cuyahoga",10,9
"09/02/2017, Cuyahoga",13,12
"09/03/2017, Cuyahoga",18,17
"09/04/2017, Cuyahoga",27,25
"09/05/2017, Cuyahoga",13,12
"09/06/2017, Cuyahoga",14,13
"09/07/2017, Cuyahoga",8,7
"09/08/2017, Cuyahoga",8,7
"09/09/2017, Cuyahoga",14,13
"09/10/2017, Cuyahoga",17,16
"09/11/2017, Cuyahoga",34,31
"09/12/2017, Cuyahoga",26,24
"09/13/2017, Cuyahoga",40,37
"09/14/2017, Cuyahoga",18,17
"09/15/2017, Cuyahoga",45,42
"09/16/2017, Cuyahoga",36,33
"09/17/2017, Cuyahoga",32,30
"09/18/2017, Cuyahoga",51,47
"09/19/2017, Cuyahoga",67,57
"09/20/2017, Cuyahoga",44,41
"09/21/2017, Cuyahoga",59,53
"09/22/2017, Cuyahoga",57,52
"09/23/2017, Cuyahoga",53,49
"09/24/2017, Cuyahoga",46,43
"09/25/2017, Cuyahoga",52,48
"09/26/2017, Cuyahoga",58,52
"09/27/2017, Cuyahoga",48,44
"09/28/2017, Cuyahoga",10,9
"09/29/2017, Cuyahoga",37,34
"09/30/2017, Cuyahoga",9,8
"10/01/2017, Cuyahoga",19,18
"10/02/2017, Cuyahoga",64,55
"10/03/2017, Cuyahoga",60,53
"10/04/2017, Cuyahoga",56,51
"10/05/2017, Cuyahoga",17,16
"10/06/2017, Cuyahoga",24,22
"10/07/2017, Cuyahoga",25,23
"10/08/2017, Cuyahoga",9,8
"10/09/2017, Cuyahoga",16,15
"10/10/2017, Cuyahoga",44,41
"10/11/2017, Cuyahoga",13,12
"10/12/2017, Cuyahoga",18,17
"10/13/2017, Cuyahoga",28,26
"10/14/2017, Cuyahoga",38,35
"10/15/2017, Cuyahoga",15,14
"10/16/2017, Cuyahoga",14,13
"10/17/2017, Cuyahoga",28,26
"10/18/2017, Cuyahoga",49,45
"10/19/2017, Cuyahoga",38,35
"10/20/2017, Cuyahoga",63,55
"10/21/2017, Cuyahoga",38,35
"10/22/2017, Cuyahoga",31,29
"10/23/2017, Cuyahoga",36,33
"10/24/2017, Cuyahoga",11,10
"10/25/2017, Cuyahoga",10,9
"10/26/2017, Cuyahoga",16,15
"10/27/2017, Cuyahoga",28,26
"10/28/2017, Cuyahoga",5,5
"10/29/2017, Cuyahoga",5,5
"10/30/2017, Cuyahoga",10,9
"10/31/2017, Cuyahoga",16,15
"11/01/2017, Cuyahoga",29,27
"11/02/2017, Cuyahoga",24,22
"11/03/2017, Cuyahoga",11,10
"11/04/2017, Cuyahoga",15,14
"11/05/2017, Cuyahoga",15,14
"11/06/2017, Cuyahoga",7,6
"11/07/2017, Cuyahoga",11,10
"11/08/2017, Cuyahoga",29,27
"11/09/2017, Cuyahoga",43,40
"11/10/2017, Cuyahoga",8,7
"11/11/2017, Cuyahoga",15,14
"11/12/2017, Cuyahoga",27,25
"11/13/2017, Cuyahoga",18,17
"11/14/2017, Cuyahoga",22,20
"11/15/2017, Cuyahoga",38,35
"11/16/2017, Cuyahoga",7,6
"11/17/2017, Cuyahoga",18,17
"11/18/2017, Cuyahoga",15,14
"11/19/2017, Cuyahoga",6,6
"11/20/2017, Cuyahoga",13,12
"11/21/2017, Cuyahoga",19,18
"11/22/2017, Cuyahoga",9,8
"11/23/2017, Cuyahoga",8,7
"11/24/2017, Cuyahoga",27,25
"11/25/2017, Cuyahoga",12,11
"11/26/2017, Cuyahoga",6,6
"11/29/2017, Cuyahoga",15,14
"11/30/2017, Cuyahoga",31,29
"12/01/2017, Cuyahoga",29,27
"12/02/2017, Cuyahoga",38,35
"12/03/2017, Cuyahoga",37,34
"12/04/2017, Cuyahoga",68,57
"12/05/2017, Cuyahoga",14,13
"12/06/2017, Cuyahoga",10,9
"12/07/2017, Cuyahoga",16,15
"12/08/2017, Cuyahoga",13,12
"12/09/2017, Cuyahoga",19,18
"12/10/2017, Cuyahoga",13,12
"12/11/2017, Cuyahoga",18,17
"12/12/2017, Cuyahoga",15,14
"12/13/2017, Cuyahoga",13,12
"12/14/2017, Cuyahoga",11,10
"12/15/2017, Cuyahoga",22,20
"12/16/2017, Cuyahoga",16,15
"12/17/2017, Cuyahoga",24,22
"12/18/2017, Cuyahoga",12,11
"12/19/2017, Cuyahoga",17,16
"12/20/2017, Cuyahoga",23,21
"12/21/2017, Cuyahoga",19,18
"12/22/2017, Cuyahoga",20,19
"12/23/2017, Cuyahoga",6,6
"12/24/2017, Cuyahoga",9,8
"12/25/2017, Cuyahoga",11,10
"12/26/2017, Cuyahoga",14,13
"12/27/2017, Cuyahoga",10,9
"12/28/2017, Cuyahoga",15,14
"12/29/2017, Cuyahoga",14,13
"12/30/2017, Cuyahoga",8,7
"12/31/2017, Cuyahoga",12,11
"01/01/2017, Cuyahoga",18,17
"01/07/2017, Cuyahoga",23,21
"01/13/2017, Cuyahoga",18,17
"01/19/2017, Cuyahoga",16,15
"01/25/2017, Cuyahoga",22,20
"01/31/2017, Cuyahoga",16,15
"02/06/2017, Cuyahoga",49,45
"02/12/2017, Cuyahoga",17,16
"02/18/2017, Cuyahoga",22,20
"02/24/2017, Cuyahoga",51,47
"03/02/2017, Cuyahoga",12,11
"03/08/2017, Cuyahoga",26,24
"03/14/2017, Cuyahoga",22,20
"03/20/2017, Cuyahoga",29,27
"03/26/2017, Cuyahoga",37,34
"04/01/2017, Cuyahoga",40,37
"04/07/2017, Cuyahoga",16,15
"04/13/2017, Cuyahoga",23,21
"04/19/2017, Cuyahoga",47,44
"04/25/2017, Cuyahoga",17,16
"05/01/2017, Cuyahoga",31,29
"05/07/2017, Cuyahoga",11,10
"05/13/2017, Cuyahoga",23,21
"05/19/2017, Cuyahoga",17,16
"05/25/2017, Cuyahoga",12,11
"05/31/2017, Cuyahoga",26,24
"06/06/2017, Cuyahoga",17,16
"06/12/2017, Cuyahoga",63,55
"06/18/2017, Cuyahoga",57,52
"06/24/2017, Cuyahoga",14,13
"06/30/2017, Cuyahoga",27,25
"07/06/2017, Cuyahoga",67,57
"07/12/2017, Cuyahoga",32,30
"07/18/2017, Cuyahoga",48,44
"07/24/2017, Cuyahoga",24,22
"07/30/2017, Cuyahoga",32,30
"08/05/2017, Cuyahoga",13,12
"08/11/2017, Cuyahoga",44,41
"08/17/2017, Cuyahoga",50,46
"08/23/2017, Cuyahoga",25,23
"08/29/2017, Cuyahoga",32,30
"09/04/2017, Cuyahoga",26,24
"09/10/2017, Cuyahoga",16,15
"09/16/2017, Cuyahoga",39,36
"09/22/2017, Cuyahoga",43,40
"09/28/2017, Cuyahoga",20,19
"10/04/2017, Cuyahoga",48,44
"10/10/2017, Cuyahoga",41,38
"10/16/2017, Cuyahoga",17,16
"10/22/2017, Cuyahoga",67,57
"10/28/2017, Cuyahoga",11,10
"11/03/2017, Cuyahoga",15,14
"11/09/2017, Cuyahoga",41,38
"11/15/2017, Cuyahoga",49,45
"11/21/2017, Cuyahoga",15,14
"11/27/2017, Cuyahoga",29,27
"12/03/2017, Cuyahoga",43,40
"12/09/2017, Cuyahoga",34,31
"12/15/2017, Cuyahoga",35,32
"12/21/2017, Cuyahoga",22,20
"12/27/2017, Cuyahoga",18,17
"01/01/2017, Cuyahoga",19,18
"01/07/2017, Cuyahoga",20,19
"01/13/2017, Cuyahoga",9,8
"01/19/2017, Cuyahoga",11,10
"01/25/2017, Cuyahoga",10,9
"01/31/2017, Cuyahoga",9,8
"02/06/2017, Cuyahoga",28,26
"02/12/2017, Cuyahoga",20,19
"02/18/2017, Cuyahoga",14,13
"02/24/2017, Cuyahoga",12,11
"03/02/2017, Cuyahoga",3,3
"03/08/2017, Cuyahoga",9,8
"03/14/2017, Cuyahoga",5,5
"03/20/2017, Cuyahoga",17,16
"03/26/2017, Cuyahoga",17,16
"04/01/2017, Cuyahoga",6,6
"04/07/2017, Cuyahoga",3,3
"04/13/2017, Cuyahoga",16,15
"04/19/2017, Cuyahoga",14,13
"04/25/2017, Cuyahoga",8,7
"05/01/2017, Cuyahoga",15,14
"05/07/2017, Cuyahoga",6,6
"05/13/2017, Cuyahoga",14,13
"05/19/2017, Cuyahoga",12,11
"05/25/2017, Cuyahoga",6,6
"05/31/2017, Cuyahoga",15,14
"06/06/2017, Cuyahoga",7,6
"06/12/2017, Cuyahoga",29,27
"06/18/2017, Cuyahoga",17,16
"06/24/2017, Cuyahoga",12,11
"06/30/2017, Cuyahoga",11,10
"07/06/2017, Cuyahoga",24,22
"07/12/2017, Cuyahoga",15,14
"07/18/2017, Cuyahoga",21,19
"07/24/2017, Cuyahoga",11,10
"07/30/2017, Cuyahoga",16,15
"08/05/2017, Cuyahoga",11,10
"08/11/2017, Cuyahoga",18,17
"08/17/2017, Cuyahoga",18,17
"08/23/2017, Cuyahoga",15,14
"09/04/2017, Cuyahoga",22,20
"09/10/2017, Cuyahoga",9,8
"09/16/2017, Cuyahoga",20,19
"09/22/2017, Cuyahoga",23,21
"09/28/2017, Cuyahoga",9,8
"10/04/2017, Cuyahoga",19,18
"10/10/2017, Cuyahoga",18,17
"10/16/2017, Cuyahoga",5,5
"10/22/2017, Cuyahoga",19,18
"10/28/2017, Cuyahoga",6,6
"11/03/2017, Cuyahoga",9,8
"11/09/2017, Cuyahoga",17,16
"11/15/2017, Cuyahoga",17,16
"11/21/2017, Cuyahoga",9,8
"12/03/2017, Cuyahoga",30,28
"12/09/2017, Cuyahoga",16,15
"12/15/2017, Cuyahoga",15,14
"12/21/2017, Cuyahoga",10,9
"12/27/2017, Cuyahoga",17,16
"01/01/2017, Lake",7,6
"01/07/2017, Lake",12,11
"01/13/2017, Lake",7,6
"01/19/2017, Lake",9,8
"01/25/2017, Lake",9,8
"01/31/2017, Lake",9,8
"02/06/2017, Lake",21,19
"02/12/2017, Lake",20,19
"02/18/2017, Lake",24,22
"02/24/2017, Lake",12,11
"03/02/2017, Lake",6,6
"03/08/2017, Lake",21,19
"03/14/2017, Lake",6,6
"03/20/2017, Lake",17,16
"03/26/2017, Lake",13,12
"04/01/2017, Lake",5,5
"04/07/2017, Lake",2,2
"04/13/2017, Lake",8,7
"04/19/2017, Lake",15,14
"04/25/2017, Lake",6,6
"05/01/2017, Lake",14,13
"05/07/2017, Lake",5,5
"05/13/2017, Lake",18,17
"05/19/2017, Lake",9,8
"05/25/2017, Lake",5,5
"05/31/2017, Lake",17,16
"06/06/2017, Lake",6,6
"06/12/2017, Lake",28,26
"06/18/2017, Lake",15,14
"06/24/2017, Lake",12,11
"06/30/2017, Lake",12,11
"07/06/2017, Lake",18,17
"07/12/2017, Lake",19,18
"07/18/2017, Lake",14,13
"07/24/2017, Lake",8,7
"07/30/2017, Lake",11,10
"08/05/2017, Lake",10,9
"08/17/2017, Lake",14,13
"08/23/2017, Lake",13,12
"08/29/2017, Lake",16,15
"09/04/2017, Lake",18,17
"09/10/2017, Lake",6,6
"09/16/2017, Lake",15,14
"09/22/2017, Lake",18,17
"09/28/2017, Lake",7,6
"10/04/2017, Lake",22,20
"10/10/2017, Lake",14,13
"10/16/2017, Lake",4,4
"10/22/2017, Lake",18,17
"10/28/2017, Lake",5,5
"11/03/2017, Lake",3,3
"11/09/2017, Lake",17,16
"11/15/2017, Lake",13,12
"11/21/2017, Lake",10,9
"11/27/2017, Lake",16,15
"12/03/2017, Lake",29,27
"12/09/2017, Lake",13,12
"12/15/2017, Lake",16,15
"12/21/2017, Lake",5,5
"12/27/2017, Lake",4,4
"01/01/2017, Lake",7,6
"01/07/2017, Lake",13,12
"01/13/2017, Lake",6,6
"01/31/2017, Lake",9,8
"02/06/2017, Lake",21,19
"02/12/2017, Lake",19,18
"02/18/2017, Lake",25,23
"02/24/2017, Lake",13,12
"03/02/2017, Lake",5,5
"03/08/2017, Lake",22,20
"03/14/2017, Lake",8,7
"03/20/2017, Lake",18,17
"03/26/2017, Lake",13,12
"04/01/2017, Lake",5,5
"04/07/2017, Lake",2,2
"04/13/2017, Lake",7,6
"04/19/2017, Lake",17,16
"04/25/2017, Lake",6,6
"05/01/2017, Lake",14,13
"05/07/2017, Lake",6,6
"05/13/2017, Lake",19,18
"05/19/2017, Lake",11,10
"05/25/2017, Lake",5,5
"05/31/2017, Lake",17,16
"06/06/2017, Lake",6,6
"06/12/2017, Lake",31,29
"06/18/2017, Lake",17,16
"06/24/2017, Lake",13,12
"06/30/2017, Lake",11,10
"07/06/2017, Lake",19,18
"07/12/2017, Lake",19,18
"07/18/2017, Lake",15,14
"07/24/2017, Lake",8,7
"07/30/2017, Lake",12,11
"08/05/2017, Lake",10,9
"08/11/2017, Lake",15,14
"08/17/2017, Lake",14,13
"08/23/2017, Lake",14,13
"08/29/2017, Lake",17,16
"09/04/2017, Lake",19,18
"09/10/2017, Lake",7,6
"09/16/2017, Lake",15,14
"09/22/2017, Lake",18,17
"09/28/2017, Lake",9,8
"10/04/2017, Lake",24,22
"10/10/2017, Lake",14,13
"10/16/2017, Lake",3,3
"10/22/2017, Lake",18,17
"10/28/2017, Lake",4,4
"11/03/2017, Lake",3,3
"11/09/2017, Lake",18,17
"11/15/2017, Lake",13,12
"11/21/2017, Lake",10,9
"11/27/2017, Lake",18,17
"12/03/2017, Lake",28,26
"12/09/2017, Lake",13,12
"12/15/2017, Lake",19,18
"12/21/2017, Lake",5,5
"12/27/2017, Lake",4,4
"01/01/2017, Lorain",16,15
"01/07/2017, Lorain",18,17
"01/13/2017, Lorain",6,6
"01/19/2017, Lorain",8,7
"01/25/2017, Lorain",6,6
"01/31/2017, Lorain",5,5
"02/06/2017, Lorain",19,18
"02/12/2017, Lorain",18,17
"02/18/2017, Lorain",10,9
"02/24/2017, Lorain",10,9
"03/02/2017, Lorain",2,2
"03/08/2017, Lorain",11,10
"03/14/2017, Lorain",5,5
"03/20/2017, Lorain",17,16
"03/26/2017, Lorain",10,9
"04/01/2017, Lorain",4,4
"04/07/2017, Lorain",3,3
"04/13/2017, Lorain",8,7
"04/19/2017, Lorain",11,10
"04/25/2017, Lorain",6,6
"05/01/2017, Lorain",9,8
"05/07/2017, Lorain",4,4
"05/13/2017, Lorain",10,9
"05/19/2017, Lorain",9,8
"05/25/2017, Lorain",7,6
"05/31/2017, Lorain",10,9
"06/06/2017, Lorain",8,7
"06/12/2017, Lorain",20,19
"06/18/2017, Lorain",15,14
"06/24/2017, Lorain",11,10
"06/30/2017, Lorain",8,7
"07/06/2017, Lorain",17,16
"07/12/2017, Lorain",13,12
"07/18/2017, Lorain",16,15
"07/24/2017, Lorain",9,8
"07/30/2017, Lorain",10,9
"08/05/2017, Lorain",8,7
"08/11/2017, Lorain",15,14
"08/17/2017, Lorain",14,13
"08/23/2017, Lorain",9,8
"08/29/2017, Lorain",13,12
"09/04/2017, Lorain",18,17
"09/10/2017, Lorain",7,6
"09/16/2017, Lorain",12,11
"09/22/2017, Lorain",14,13
"09/28/2017, Lorain",4,4
"10/04/2017, Lorain",11,10
"10/10/2017, Lorain",10,9
"10/16/2017, Lorain",5,5
"10/22/2017, Lorain",15,14
"10/28/2017, Lorain",9,8
"11/03/2017, Lorain",4,4
"11/09/2017, Lorain",13,12
"11/15/2017, Lorain",14,13
"11/21/2017, Lorain",8,7
"11/27/2017, Lorain",13,12
"12/03/2017, Lorain",20,19
"12/09/2017, Lorain",11,10
"12/15/2017, Lorain",14,13
"12/21/2017, Lorain",10,9
"12/27/2017, Lorain",13,12
