date_county,Daily Mean Pb Concentration,DAILY_AQI_VALUE
"01/01/2017, Cuyahoga",0.007,.
"01/07/2017, Cuyahoga",0.006,.
"01/13/2017, Cuyahoga",0.005,.
"01/19/2017, Cuyahoga",0.007,.
"01/25/2017, Cuyahoga",0.011,.
"01/31/2017, Cuyahoga",0.005,.
"02/06/2017, Cuyahoga",0.016,.
"02/12/2017, Cuyahoga",0.007,.
"02/18/2017, Cuyahoga",0.007,.
"02/24/2017, Cuyahoga",0.025,.
"03/02/2017, Cuyahoga",0.002,.
"03/08/2017, Cuyahoga",0.005,.
"03/14/2017, Cuyahoga",0.003,.
"03/20/2017, Cuyahoga",0.02,.
"03/26/2017, Cuyahoga",0.014,.
"04/01/2017, Cuyahoga",0.003,.
"04/07/2017, Cuyahoga",0.002,.
"04/13/2017, Cuyahoga",0.022,.
"04/19/2017, Cuyahoga",0.009,.
"04/25/2017, Cuyahoga",0.007,.
"05/01/2017, Cuyahoga",0.008,.
"05/07/2017, Cuyahoga",0.002,.
"05/13/2017, Cuyahoga",0.008,.
"05/19/2017, Cuyahoga",0.006,.
"05/25/2017, Cuyahoga",0.003,.
"05/31/2017, Cuyahoga",0.011,.
"06/06/2017, Cuyahoga",0.004,.
"06/12/2017, Cuyahoga",0.007,.
"06/18/2017, Cuyahoga",0.008,.
"06/24/2017, Cuyahoga",0.004,.
"06/30/2017, Cuyahoga",0.009,.
"07/06/2017, Cuyahoga",0.026,.
"07/12/2017, Cuyahoga",0.005,.
"07/18/2017, Cuyahoga",0.017,.
"07/24/2017, Cuyahoga",0.005,.
"07/30/2017, Cuyahoga",0.006,.
"08/05/2017, Cuyahoga",0.004,.
"08/11/2017, Cuyahoga",0.013,.
"08/17/2017, Cuyahoga",0.021,.
"08/23/2017, Cuyahoga",0.006,.
"08/29/2017, Cuyahoga",0.009,.
"09/04/2017, Cuyahoga",0.008,.
"09/10/2017, Cuyahoga",0.008,.
"09/16/2017, Cuyahoga",0.026,.
"09/22/2017, Cuyahoga",0.034,.
"09/28/2017, Cuyahoga",0.007,.
"10/04/2017, Cuyahoga",0.017,.
"10/10/2017, Cuyahoga",0.02,.
"10/16/2017, Cuyahoga",0.012,.
"10/22/2017, Cuyahoga",0.014,.
"10/28/2017, Cuyahoga",0.004,.
"11/03/2017, Cuyahoga",0.002,.
"11/09/2017, Cuyahoga",0.026,.
"11/15/2017, Cuyahoga",0.029,.
"11/21/2017, Cuyahoga",0.005,.
"11/27/2017, Cuyahoga",0.011,.
"12/03/2017, Cuyahoga",0.013,.
"12/09/2017, Cuyahoga",0.01,.
"12/15/2017, Cuyahoga",0.007,.
"12/21/2017, Cuyahoga",0.008,.
"12/27/2017, Cuyahoga",0.002,.
"01/01/2017, Cuyahoga",0.006,.
"01/07/2017, Cuyahoga",0.007,.
"01/13/2017, Cuyahoga",0.005,.
"01/19/2017, Cuyahoga",0.011,.
"01/25/2017, Cuyahoga",0.005,.
"01/31/2017, Cuyahoga",0.004,.
"02/06/2017, Cuyahoga",0.008,.
"02/12/2017, Cuyahoga",0.006,.
"02/18/2017, Cuyahoga",0.013,.
"02/24/2017, Cuyahoga",0.013,.
"03/02/2017, Cuyahoga",0.005,.
"03/08/2017, Cuyahoga",0.007,.
"03/14/2017, Cuyahoga",0.004,.
"03/20/2017, Cuyahoga",0.009,.
"03/26/2017, Cuyahoga",0.01,.
"04/01/2017, Cuyahoga",0.005,.
"04/07/2017, Cuyahoga",0.003,.
"04/13/2017, Cuyahoga",0.013,.
"04/19/2017, Cuyahoga",0.013,.
"04/25/2017, Cuyahoga",0.011,.
"05/01/2017, Cuyahoga",0.004,.
"05/07/2017, Cuyahoga",0.002,.
"05/13/2017, Cuyahoga",0.005,.
"05/19/2017, Cuyahoga",0.005,.
"05/25/2017, Cuyahoga",0.003,.
"05/31/2017, Cuyahoga",0.014,.
"06/06/2017, Cuyahoga",0.009,.
"06/12/2017, Cuyahoga",0.01,.
"06/18/2017, Cuyahoga",0.009,.
"06/24/2017, Cuyahoga",0.005,.
"07/06/2017, Cuyahoga",0.012,.
"07/12/2017, Cuyahoga",0.005,.
"07/18/2017, Cuyahoga",0.015,.
"07/24/2017, Cuyahoga",0.005,.
"07/30/2017, Cuyahoga",0.023,.
"08/05/2017, Cuyahoga",0.007,.
"08/11/2017, Cuyahoga",0.009,.
"08/17/2017, Cuyahoga",0.017,.
"08/23/2017, Cuyahoga",0.006,.
"08/29/2017, Cuyahoga",0.015,.
"09/04/2017, Cuyahoga",0.012,.
"09/16/2017, Cuyahoga",0.019,.
"09/22/2017, Cuyahoga",0.022,.
"09/28/2017, Cuyahoga",0.005,.
"10/04/2017, Cuyahoga",0.026,.
"10/10/2017, Cuyahoga",0.009,.
"10/16/2017, Cuyahoga",0.009,.
"10/22/2017, Cuyahoga",0.013,.
"10/28/2017, Cuyahoga",0.007,.
"11/03/2017, Cuyahoga",0.003,.
"11/09/2017, Cuyahoga",0.014,.
"11/15/2017, Cuyahoga",0.013,.
"11/21/2017, Cuyahoga",0.005,.
"11/27/2017, Cuyahoga",0.016,.
"12/03/2017, Cuyahoga",0.015,.
"12/09/2017, Cuyahoga",0.006,.
"12/15/2017, Cuyahoga",0.005,.
"12/21/2017, Cuyahoga",0.01,.
"12/27/2017, Cuyahoga",0.005,.
"01/01/2017, Cuyahoga",0.007,.
"01/07/2017, Cuyahoga",0.005,.
"01/13/2017, Cuyahoga",0.004,.
"01/19/2017, Cuyahoga",0.011,.
"01/25/2017, Cuyahoga",0.006,.
"01/31/2017, Cuyahoga",0.004,.
"02/06/2017, Cuyahoga",0.008,.
"02/12/2017, Cuyahoga",0.006,.
"02/18/2017, Cuyahoga",0.013,.
"02/24/2017, Cuyahoga",0.011,.
"03/02/2017, Cuyahoga",0.005,.
"03/08/2017, Cuyahoga",0.006,.
"03/14/2017, Cuyahoga",0.004,.
"03/26/2017, Cuyahoga",0.01,.
"04/01/2017, Cuyahoga",0.005,.
"04/07/2017, Cuyahoga",0.004,.
"04/13/2017, Cuyahoga",0.012,.
"04/19/2017, Cuyahoga",0.012,.
"04/25/2017, Cuyahoga",0.009,.
"05/01/2017, Cuyahoga",0.005,.
"05/07/2017, Cuyahoga",0.002,.
"05/13/2017, Cuyahoga",0.005,.
"05/19/2017, Cuyahoga",0.005,.
"05/25/2017, Cuyahoga",0.003,.
"05/31/2017, Cuyahoga",0.014,.
"06/06/2017, Cuyahoga",0.009,.
"06/12/2017, Cuyahoga",0.009,.
"06/18/2017, Cuyahoga",0.008,.
"06/24/2017, Cuyahoga",0.004,.
"07/06/2017, Cuyahoga",0.013,.
"07/12/2017, Cuyahoga",0.005,.
"07/18/2017, Cuyahoga",0.015,.
"07/24/2017, Cuyahoga",0.006,.
"07/30/2017, Cuyahoga",0.006,.
"08/05/2017, Cuyahoga",0.008,.
"08/11/2017, Cuyahoga",0.008,.
"08/17/2017, Cuyahoga",0.018,.
"08/23/2017, Cuyahoga",0.005,.
"08/29/2017, Cuyahoga",0.016,.
"09/04/2017, Cuyahoga",0.011,.
"09/10/2017, Cuyahoga",0.009,.
"09/16/2017, Cuyahoga",0.02,.
"09/22/2017, Cuyahoga",0.022,.
"09/28/2017, Cuyahoga",0.006,.
"10/04/2017, Cuyahoga",0.026,.
"10/10/2017, Cuyahoga",0.009,.
"10/16/2017, Cuyahoga",0.01,.
"10/22/2017, Cuyahoga",0.015,.
"10/28/2017, Cuyahoga",0.007,.
"11/03/2017, Cuyahoga",0.004,.
"11/09/2017, Cuyahoga",0.013,.
"11/15/2017, Cuyahoga",0.013,.
"11/21/2017, Cuyahoga",0.005,.
"11/27/2017, Cuyahoga",0.018,.
"12/03/2017, Cuyahoga",0.014,.
"12/09/2017, Cuyahoga",0.006,.
"12/15/2017, Cuyahoga",0.005,.
"12/21/2017, Cuyahoga",0.009,.
"12/27/2017, Cuyahoga",0.003,.
"01/01/2017, Cuyahoga",0.004,.
"01/07/2017, Cuyahoga",0.009,.
"01/13/2017, Cuyahoga",0.007,.
"01/19/2017, Cuyahoga",0.004,.
"01/25/2017, Cuyahoga",0.006,.
"01/31/2017, Cuyahoga",0.01,.
"02/06/2017, Cuyahoga",0.007,.
"02/12/2017, Cuyahoga",0.006,.
"02/18/2017, Cuyahoga",0.008,.
"02/24/2017, Cuyahoga",0.023,.
"03/02/2017, Cuyahoga",0.004,.
"03/08/2017, Cuyahoga",0.016,.
"03/14/2017, Cuyahoga",0.013,.
"03/20/2017, Cuyahoga",0.008,.
"03/26/2017, Cuyahoga",0.009,.
"04/01/2017, Cuyahoga",0.004,.
"04/13/2017, Cuyahoga",0.013,.
"04/19/2017, Cuyahoga",0.076,.
"04/25/2017, Cuyahoga",0.008,.
"05/01/2017, Cuyahoga",0.013,.
"05/07/2017, Cuyahoga",0.004,.
"05/13/2017, Cuyahoga",0.017,.
"05/19/2017, Cuyahoga",0.011,.
"05/25/2017, Cuyahoga",0.004,.
"05/31/2017, Cuyahoga",0.011,.
"06/06/2017, Cuyahoga",0.008,.
"06/12/2017, Cuyahoga",0.016,.
"06/18/2017, Cuyahoga",0.012,.
"06/24/2017, Cuyahoga",0.008,.
"06/30/2017, Cuyahoga",0.009,.
"07/06/2017, Cuyahoga",0.02,.
"07/12/2017, Cuyahoga",0.01,.
"07/18/2017, Cuyahoga",0.022,.
"07/24/2017, Cuyahoga",0.013,.
"07/30/2017, Cuyahoga",0.006,.
"08/05/2017, Cuyahoga",0.007,.
"08/11/2017, Cuyahoga",0.011,.
"08/17/2017, Cuyahoga",0.044,.
"08/23/2017, Cuyahoga",0.008,.
"08/29/2017, Cuyahoga",0.015,.
"09/04/2017, Cuyahoga",0.007,.
"09/10/2017, Cuyahoga",0.007,.
"09/16/2017, Cuyahoga",0.018,.
"09/22/2017, Cuyahoga",0.034,.
"09/28/2017, Cuyahoga",0.008,.
"10/04/2017, Cuyahoga",0.019,.
"10/10/2017, Cuyahoga",0.011,.
"10/16/2017, Cuyahoga",0.005,.
"10/22/2017, Cuyahoga",0.008,.
"10/28/2017, Cuyahoga",0.005,.
"11/03/2017, Cuyahoga",0.004,.
"11/09/2017, Cuyahoga",0.015,.
"11/15/2017, Cuyahoga",0.008,.
"11/21/2017, Cuyahoga",0.011,.
"11/27/2017, Cuyahoga",0.014,.
"12/03/2017, Cuyahoga",0.019,.
"12/09/2017, Cuyahoga",0.006,.
"12/15/2017, Cuyahoga",0.007,.
"12/21/2017, Cuyahoga",0.006,.
"12/27/2017, Cuyahoga",0.006,.
"01/01/2017, Cuyahoga",0.004,.
"01/07/2017, Cuyahoga",0.009,.
"01/13/2017, Cuyahoga",0.007,.
"01/19/2017, Cuyahoga",0.004,.
"01/25/2017, Cuyahoga",0.007,.
"01/31/2017, Cuyahoga",0.009,.
"02/06/2017, Cuyahoga",0.007,.
"02/12/2017, Cuyahoga",0.006,.
"02/24/2017, Cuyahoga",0.022,.
"03/02/2017, Cuyahoga",0.005,.
"03/08/2017, Cuyahoga",0.015,.
"03/14/2017, Cuyahoga",0.012,.
"03/20/2017, Cuyahoga",0.008,.
"03/26/2017, Cuyahoga",0.01,.
"04/01/2017, Cuyahoga",0.004,.
"04/07/2017, Cuyahoga",0.007,.
"04/13/2017, Cuyahoga",0.013,.
"04/19/2017, Cuyahoga",0.076,.
"04/25/2017, Cuyahoga",0.009,.
"05/07/2017, Cuyahoga",0.004,.
"05/13/2017, Cuyahoga",0.017,.
"05/19/2017, Cuyahoga",0.009,.
"05/25/2017, Cuyahoga",0.004,.
"05/31/2017, Cuyahoga",0.012,.
"06/06/2017, Cuyahoga",0.009,.
"06/12/2017, Cuyahoga",0.016,.
"06/18/2017, Cuyahoga",0.012,.
"06/24/2017, Cuyahoga",0.008,.
"06/30/2017, Cuyahoga",0.009,.
"07/06/2017, Cuyahoga",0.02,.
"07/12/2017, Cuyahoga",0.011,.
"07/18/2017, Cuyahoga",0.022,.
"07/24/2017, Cuyahoga",0.013,.
"07/30/2017, Cuyahoga",0.012,.
"08/05/2017, Cuyahoga",0.007,.
"08/11/2017, Cuyahoga",0.013,.
"08/17/2017, Cuyahoga",0.046,.
"08/23/2017, Cuyahoga",0.008,.
"09/04/2017, Cuyahoga",0.007,.
"09/10/2017, Cuyahoga",0.007,.
"09/16/2017, Cuyahoga",0.018,.
"09/22/2017, Cuyahoga",0.031,.
"09/28/2017, Cuyahoga",0.012,.
"10/04/2017, Cuyahoga",0.021,.
"10/10/2017, Cuyahoga",0.011,.
"10/16/2017, Cuyahoga",0.005,.
"10/22/2017, Cuyahoga",0.008,.
"10/28/2017, Cuyahoga",0.005,.
"11/03/2017, Cuyahoga",0.004,.
"11/09/2017, Cuyahoga",0.014,.
"11/15/2017, Cuyahoga",0.008,.
"11/27/2017, Cuyahoga",0.016,.
"12/03/2017, Cuyahoga",0.019,.
"12/09/2017, Cuyahoga",0.006,.
"12/15/2017, Cuyahoga",0.007,.
"12/21/2017, Cuyahoga",0.006,.
"12/27/2017, Cuyahoga",0.005,.
"01/01/2017, Cuyahoga",0.009,.
"01/07/2017, Cuyahoga",0.006,.
"01/13/2017, Cuyahoga",0.008,.
"01/19/2017, Cuyahoga",0.005,.
"01/25/2017, Cuyahoga",0.008,.
"01/31/2017, Cuyahoga",0.007,.
"02/06/2017, Cuyahoga",0.031,.
"02/12/2017, Cuyahoga",0.006,.
"02/18/2017, Cuyahoga",0.051,.
"03/02/2017, Cuyahoga",0.006,.
"03/08/2017, Cuyahoga",0.021,.
"03/14/2017, Cuyahoga",0.015,.
"03/20/2017, Cuyahoga",0.014,.
"03/26/2017, Cuyahoga",0.016,.
"04/01/2017, Cuyahoga",0.003,.
"04/13/2017, Cuyahoga",0.022,.
"04/25/2017, Cuyahoga",0.009,.
"05/01/2017, Cuyahoga",0.012,.
"05/07/2017, Cuyahoga",0.002,.
"05/13/2017, Cuyahoga",0.02,.
"05/19/2017, Cuyahoga",0.035,.
"05/25/2017, Cuyahoga",0.005,.
"05/31/2017, Cuyahoga",0.017,.
"06/06/2017, Cuyahoga",0.018,.
"06/12/2017, Cuyahoga",0.027,.
"06/18/2017, Cuyahoga",0.039,.
"06/24/2017, Cuyahoga",0.006,.
"06/30/2017, Cuyahoga",0.026,.
"07/06/2017, Cuyahoga",0.035,.
"07/12/2017, Cuyahoga",0.009,.
"07/18/2017, Cuyahoga",0.016,.
"07/24/2017, Cuyahoga",0.006,.
"07/30/2017, Cuyahoga",0.015,.
"08/05/2017, Cuyahoga",0.007,.
"08/11/2017, Cuyahoga",0.021,.
"08/17/2017, Cuyahoga",0.04,.
"08/29/2017, Cuyahoga",0.018,.
"09/04/2017, Cuyahoga",0.048,.
"09/10/2017, Cuyahoga",0.008,.
"09/16/2017, Cuyahoga",0.018,.
"09/22/2017, Cuyahoga",0.03,.
"09/28/2017, Cuyahoga",0.062,.
"10/04/2017, Cuyahoga",0.06,.
"10/10/2017, Cuyahoga",0.024,.
"10/16/2017, Cuyahoga",0.011,.
"10/22/2017, Cuyahoga",0.025,.
"10/28/2017, Cuyahoga",0.004,.
"11/03/2017, Cuyahoga",0.004,.
"11/09/2017, Cuyahoga",0.024,.
"11/15/2017, Cuyahoga",0.029,.
"11/21/2017, Cuyahoga",0.049,.
"11/27/2017, Cuyahoga",0.031,.
"12/03/2017, Cuyahoga",0.011,.
"12/09/2017, Cuyahoga",0.01,.
"12/15/2017, Cuyahoga",0.013,.
"12/21/2017, Cuyahoga",0.01,.
"12/27/2017, Cuyahoga",0.003,.
